reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A3IRA84P3Y88SC,B00136LMA2,1,1,5,Love dancing to this song!,Love dancing to this song !
AVKHYC2D7MD56,B000TEJ1SO,1,1,4,This is the only song I like from Tanya Tucker. I am not a Country fan at all even though I have purchased some songs. I believe the reason why I like this song is because it's more of a cross of Pop/Country. This makes it tolerable to listen to unlike most Country.,This is the only song I like from Tanya Tucker . I am not a Country fan at all even though I have purchased some songs . why I like this song is This makes it tolerable to listen to unlike most Country .
A20BFD7SS2F7GB,B00U0V0V5I,1,1,5,Beautiful,Beautiful
AH9H5JS7HDFGA,B00122YIDK,1,1,5,"One of the most unappreciated TV shows on the air, but the music was fantastic. Especially this song. It showed that it doesn't take a big, buff man to be a super hero. Just a man.","One of the most unappreciated TV shows on the air , but the music was fantastic . that it does not take a big , buff man to be a super hero ."
A1WUSM5U3RQELL,B000W08K0U,1,1,4,"Beautiful Ballad and tribute to mothers done with that signature Boyz II Men harmony. Trying to get my band to learn it for our gig on May 9th, 2015",Beautiful Ballad that signature Boyz II Men harmony .
A27C27XY4DL3JD,B0011Z1DPY,1,1,5,Love it!,Love it !
A3HQ5IXEXT2NV,B00YZRT18G,-1,-1,1,I did not expect her music to be so weak. I saw her on a Live performance. She kicked butt. No good on record though. Sorry Grace.,I did not expect her music to be so weak . No good on record though . Sorry Grace .
A3P4B1RFJCRUR3,B002B3SD6M,-1,1,5,"Was almost scandalized when this wasn't on my ""Greatest Hits"" CD set from Tom... I missed this part of Petty's career, after basically stopping listening to him after the Travelling Wilburys being so ""old""... A friend of mine clued me in on this years later. Don't have the friend anymore, OR Tom, but I'll always have this song.","Was almost scandalized when this was not on my "" Greatest Hits "" CD set from Tom ... I missed this part of Petty 's career , after basically stopping listening to him after the Travelling Wilburys being so "" old "" ... A friend of mine clued me in on this years later . Do not have the friend anymore ,"
A3DGUCFFS99A19,B00122WK08,1,1,5,Beautiful singer!,Beautiful singer !
A39P9MWS8L0FZH,B001EWT040,1,1,5,"The song ""Shut Up And Let Me Go"" by The Ting Tings is my favorite song of 2008. I like the disco-rock guitar beat as well as the various other cool sounds in the song. I had never heard of this band before this song, so I don't know anything about them. I think this may be classified as DANCE MUSIC. But I'm 52 years old and I played it non-stop for 3 weeks after I first heard it. Very infectious beat. I would like more music like this. As a whole I don't like much newer music, but I sure do love this song.","And Let Me Go "" by The Ting Tings is my favorite song of 2008 . I like the disco - rock guitar beat as well as the various other cool sounds in the song . and I played it non - stop for 3 weeks after I first heard it . I would like more music like this . As a whole I do not like much newer music , but I sure do love this song ."
A2DRGGCUUU3LJT,B00BEFKCYE,1,1,5,"Happy,  thank you!","Happy ,   thank you !"
A3Q6QTY45IHMMZ,B00VBM5WUO,1,1,5,"Great song, it lifts your spirits.","Great song , it lifts your spirits ."
A3FSMU9YNY4KPH,B00E91QBPY,-1,1,5,I bought it didn't I?,I bought it did not I ?
A3F5INX7TZY7A8,B00FDSTHEE,1,1,4,Good,Good
A1OWP0WIYJELAS,B000S55UPC,1,1,5,Just an old favorite.,Just an old favorite .
