reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText,overall_new
A289XUH39KKR89,B001OHV1H4,1,1,5,"Great price!  Product received exactly as described, in perfect condition and  on time.  Thank You","Great price ! Product received exactly as described , in perfect condition Thank You",5.000000
A1GTSEGAXWRSO8,B00W259T7G,1,1,5,"Love these Soaps and the Company whom makes them!  All are amazing.
Here is a Wonderful list to help everyone choose there favorite Scents!
Like helping other's.
 Pre de Provence Pure Vegetable Oil Soap - 8.8 oz. bar

With luscious scents and rich lather, these soaps are a customer favorite. Hard-milled to be long-lasting, with Shea Butter and Pure Vegetable Oils to moisturize your skin. Delicately scented and made with all natural ingredients. Individually wrapped bars.

Agrumes (Citrus Fruits) Light citrus blend of grapefruit, citron, and orange.
*Angel's Trumpet Sunny, floral fragrance. Exfoliating.
Apple Pear Summer day in the orchard; fresh and fruity.
Coconut Luscious... The fragrance of the islands.
Green Tea Exotic, sensuous, and tangy.
*Honey Almond Honey and Almond blended into the warm, sweet smell of Provence. Exfoliating.
Jasmin Exotic & floral.
*Juicy Pomegranate Fresh, juicy sweet. Exfoliating.
*Lavender Lavender, the best alternative to a trip to the south of France! Aromatic & woody. Exfoliating.
*Lemongrass Tangy, citrusy, and invigorating. Exfoliating.
*Lime Zest Earthy, citrusy zeal of the lime. Provides the well being of cheer and revitalization. Exfoliating.
Linden Sweet essence of a summer day in Provence. Fresh & clean.
Milk Clean, sweet, and pleasing.
*Mint Leaf Invigorating, refreshing, and restorative. Exfoliating.
Mirabelle Juicy, green floral
Moondance Bright, green, floral
Olive Oil Mild scent, highly moisturizing & non-allergenic. The very best for dry or sensitive skin.

Also good as a baby soap, shaving soap, laundry soap, or kitchen soap.
Peony Subtle, sensual, powdery, and romantic.
Pineapple Scrumptious... Sweet and fruity.
Raspberry Juicy, sunny
*Rose Petal French rose garden in summer. Exfoliating.
*Rosemary Mint Fresh, herbaceous
*Sage Herbal, fresh, and exhilarating. Exfoliating.
Starflower Sparkling, fruity, floral
*Tiare Tropical, creamy floral. Exfoliating.
Verbena Sparkling citrus to excite the senses.
Violette Sugared violets
*White Gardenia A beautiful shrub with fragrant white flowers that create a sweet, silky floral. Exfoliating.

* Asterisks in the list above indicate soaps with exfoliating visible bits of lavender blossoms, rose petals, apricot rind, lemongrass, sage and mint leaves. Along with the richness of shea butter, these botanicals help to exfoliate dead skin cells leaving skin renewed and soft.

.","Love these Soaps All are amazing . Here is a Wonderful list to help everyone choose there favorite Scents ! Like helping other 's . 
  Pre de Provence Pure Vegetable Oil Soap - 8.8 oz . bar 

 With luscious scents and rich lather , these soaps are a customer favorite . Hard - milled to be long - lasting , with Shea Butter and Pure Vegetable Oils to moisturize your skin . Delicately scented and made with all natural ingredients . * Angel 's Trumpet Sunny , floral fragrance . Apple Pear Summer day in the orchard ; fresh and Almond blended into the warm , sweet smell of Provence . * Juicy Pomegranate Fresh , juicy sweet . * Lavender Lavender , the best alternative to a trip to the south of France ! and invigorating . * Lime Zest Earthy , citrusy zeal of the lime . Provides the well being of cheer Linden Sweet essence of a summer day in Provence . Fresh & clean . Milk Clean , sweet , and pleasing . * Mint Leaf Invigorating , refreshing , Moondance Bright , green , floral The very best for dry or sensitive skin . Also good as a baby soap , shaving soap , laundry soap , and romantic . Pineapple Scrumptious ... Sweet Raspberry Juicy , sunny * Rosemary Mint Fresh , herbaceous * Sage Herbal , fresh , and exhilarating . Starflower Sparkling , fruity , floral Verbena Sparkling citrus to excite the senses . A beautiful shrub with fragrant white flowers that create a sweet , silky floral . Along with the richness of shea butter , these botanicals help to exfoliate dead skin cells leaving skin renewed and soft . 

 .",5.000000
A1MHFSMKSOED47,B00W259T7G,1,1,5,Expensive but lovely!,Expensive but lovely !,5.000000
AG6BQPVI5DCR4,B0012Y0ZG2,1,1,5,It smells so good it's worth  the price  I'm definitely  buying this again.,It smells so good it is worth   the price   I am definitely   buying this again .,5.000000
A3DA04UMF6N2F9,B000URXP6E,1,1,5,Love it !!!! It actually came early!,Love it ! ! ! !,5.000000
A270QYQEV3CQGH,B0012Y0ZG2,1,1,5,I got s beautiful tan with no burning!  The smell was great too.  Thanks Amazon for carying this product; I am definitely going to order this product again.,I got s beautiful tan with no burning ! The smell was great too . Thanks Amazon for carying this product ; I am definitely going to order this product again .,5.000000
A3HHQ7UIJJAOAV,B0012Y0ZG2,1,1,5,"We both love the shower gel.  It smells so good, and matches the lotion that is sold, too.  We love using it.","We both love the shower gel . It smells so good , We love using it .",5.000000
A3AE2ZLYWES45E,B000URXP6E,1,1,5,I have used this for years and absolutely love it.  Can't wait for it to be made available again as I am getting very low.,and absolutely love it . Can not wait for it to be made available again as I am getting very low .,5.000000
A2CZ98V784SRJ0,B00W259T7G,1,1,5,"Light, feminine, clean not overpowering scent. Very relaxing fragrance, won't compete with other scents, but will stay with you for a little while.  Just lovely.  The soap itself, like any I have tried from this brand, is finely milled and pleasant and luxurious feeling, rinses cleanly.

Really elevates cleansing to a sensory experience.","Light , feminine , clean not overpowering scent . Very relaxing fragrance , will not compete with other scents , Just lovely . The soap itself , like any I have tried from this brand , is finely milled and pleasant and luxurious feeling , rinses cleanly .",5.000000
AAB7D8L1RXAK8,B0012Y0ZG2,1,1,5,Love this cream. I have been using it for over 6 years and will continue to use it as long as it is available. I LOVE it!!!,Love this cream . and will continue to use it as long as it is available . I LOVE it ! ! !,5.000000
