reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText,overall_new
A2MOJFGIAPOQQ3,B000URXP6E,-1,1,5,"I've had scalp issues my entire life and this is the only brand that not only didn't cause problems but cleared up problems I've had since I was a kid. I can remember my grandpa playing with my hair when I was eight and then going ""Good grief, her scalp is one giant scab!"" but since I've started using Nature's Gate I barely even have dandruff, much less scabs. I cannot express enough how much I love this brand. I may joke about the vegan shampoo thing, but everyone who knows me knows how much I adore this company and their products. The fact that the range of products also happens to smell delectable is just a bonus for me. When I moved somewhere where it wasn't easily found in stores I did try some other paraben and sulfate free shampoos and that was SUCH a disaster. I was just lucky it didn't give me horrible sores (which has happened in the past when trying different shampoos). So I got online and got my shampoo.","I have had scalp issues my entire life because problems but cleared up problems I have had since I was a kid . I can remember my grandpa playing with my hair and then going "" Good grief , her scalp is one giant scab ! "" I can not express enough how much I love this brand . I may joke about the vegan shampoo thing , who knows me knows how much I adore this company that the range of products also happens to smell delectable is just a bonus for me . When I moved somewhere where it was not easily found in stores I did try some other paraben where it was not easily found in stores I did try some other paraben and sulfate free shampoos and that was SUCH a disaster . that was SUCH a disaster . I was just lucky it did not give me horrible sores (",5.000000
A1JDBXPK20HBUW,B00006L9LC,-1,1,5,"One of my favorite skincare lines. That said, I usually use their other line but since I'm not getting younger, I thought I'd try their more mature line. Strangely, it's LESS moisturizing than their younger line. I'm still using it but next order will be back to their younger line of skincare.

I think the essence in this package is better but the overnight cream and moisturizer in the other package is much better.

I do not use their eye cream, though. Gave it away as it's just too heavy for my purposes and increases milia.","One of my favorite skincare lines . but since I am not getting younger , I thought I would try their more mature line . Strangely , it is LESS moisturizing than their younger line . I think the essence in this package is better and moisturizer in the other package is much better .",5.000000
A2UOHALGF2X77Q,B000PKKAGO,1,-1,2,"I've been using Norelco rotary shavers for the last 20+ years. I've always found them to work well and be fairly comfortable. After a few years use, instead of replacing the heads and/or battery again, I pick up the latest top of the line Norelco that's available. The Arcitec 1090 looked awesome, and I was looking forward to using it when I received it. What a disappointing product. Bottom line, it does not work nearly as well as my Quadra Action or SmartTouch XL models. I gave it some time thinking maybe my skin needed to adjust to it, but it has not improved. It just gives a mediocre, uncomfortable shave. I've since returned it, and ordered new heads for my older Norelco. I would seriously think twice before spending $200 on this product.","I have always found them to work well and be fairly comfortable . After a few years use , instead of replacing the heads and/or battery again , I pick up the latest top of the line Norelco that is available . The Arcitec 1090 looked awesome , What a disappointing product . Bottom line , it does not work nearly as well as my Quadra Action but it has not improved . It just gives a mediocre , uncomfortable shave . I would seriously think twice before spending $ 200 on this product .",3.000000
A2OCDK0BOW6UCY,B0010ZBORW,1,-1,3,"this is a cute shower cap. It comes in a little plastic envelope with a snap making it easy to tuck in a suitcase. The teal pattern is pleasant. The cap itself is unlined and made of rather crinkly plastic. The elastic is covered with white plastic. I've been growing out my hair and it is now past my shoulders. I was pleased that this cap was able to accommodate it all. The plastic is waterproof. the cap should fit most head sizes.

I use shower caps when airbrushing makeup and when actually painting the interior of my house as well as for showers and deep conditioning. This one certainly performs as well as any. the pattern is pretty but it is not especially comfortable or well made. especially considering the price point.  It does the job it was designed to do but the quality is on a par with the dollars store or discount beauty supplier.",this is a cute shower cap . It comes in a little plastic envelope with a snap making it easy to tuck in a suitcase . The teal pattern is pleasant . I have been growing out my hair I was pleased the cap should fit most head sizes . and when actually painting the interior of my house as well as for showers when actually painting the interior of my house as well as for showers This one certainly performs as well as any . the pattern is pretty but it is not especially comfortable or well made . or discount beauty supplier .,4.000000
AI8FN9LAD3WT0,B0009RF9DW,-1,1,5,"This was the best of all the Axe line, and they discontinued it. I wish they would bring it back. :(","This was the best of all the Axe line , and they discontinued it . I wish they would bring it back . :(",5.000000
AKJHHD5VEH7VG,B007V6JNE0,1,-1,3,"I'm giving this three stars because it does work but the results do not justify the price.

I've been using this for over two months. Before I started I couldn't even get my lashes on a curler. They were that short. Within two and a half weeks I could see a difference. Within a month I could get my lashes on a curler.

This product did make my eyelids itchy. No irritation in my eye though when I accidentally got some in it.  I also noticed a weird looking line above my lahses that is lighter than the rest of my skin.

I've used this as directed.  I did see improvement but I think there is a natural plateau to the lenght and amount of eyelashes that one's DNA will allow. I've hit mine.  Overall a good product but I can't see spending the money on it again (I got mine for 60% off and still can't justify it).",I am giving this three stars because it does work This product did make my eyelids itchy . No irritation in my eye though when I accidentally got some in it . I also noticed a weird looking line above my lahses that is lighter than the rest of my skin . I did see improvement but I think there is a natural plateau to the lenght that one 's DNA will allow . Overall a good product,3.000000
A39WWMBA0299ZF,B0010ZBORW,1,-1,2,"Note: The company has several products linked together which can lead to a misleading / confusing time reading reviews. This is for the booties.

I was really excited to try these moisturizing booties. Unfortunately, they did not love up to my expectations. First of all, I thought they would moisturize my feet just by wearing them as indicated in the name. They don't. You are supposed to put cream or lotion on your feet before putting them on. This means that the cream/lotion is moisturizing your feet, not the booties. I used to rub lotion on my feet and then wear socks to bed which does the same thing.

I wore these booties to bed and they immediately started annoying me. They have thick seams right at the toes and again at the heel. I couldn't stop rubbing the seams trying to make them more comfortable. Do they help hold in the heat and allow the lotion to really moisturize? Yes. So do socks. I have a pair of really soft, fluffy socks that have the same effect and are more comfortable.

Sadly, I cannot recommend these booties. I would suggest getting a really comfortable pair of socks and using them for the same thing. You can probably find them cheaper and they will work just as well.","which can lead to a misleading / confusing time reading reviews . I was really excited to try these moisturizing booties . Unfortunately , they did not love up to my expectations . and they immediately started annoying me . They have thick seams right at the toes I could not stop rubbing the seams trying to make them more comfortable . Do they help hold in the heat and allow the lotion to really moisturize ? Yes . I have a pair of really soft , fluffy socks and are more comfortable . Sadly , I can not recommend these booties . I would suggest getting a really comfortable pair of socks You can probably find them cheaper and they will work just as well .",3.000000
A2C8L2HEMJ4VT7,B0009RF9DW,-1,1,5,"This is my favorite body wash of all time. I love how my skin feels, the scent of it and that it comes in non-breakable bottles but, it is not available to purchase anymore. These last few bottles I was able to purchase were ridiculously overpriced yet, I still bought them. I don't understand why the company stopped making this product and would love to find something similar to replace this as my everyday body wash.","This is my favorite body wash of all time . I love how my skin feels , the scent of it but , it is not available to purchase anymore . These last few bottles I was able to purchase were ridiculously overpriced I do not understand why the company stopped making this product why the company stopped making this product and would love to find something similar to replace this as my everyday body wash .",5.000000
A37TA115S10WZU,B000URXP6E,-1,1,5,"I like the fact that I don't have a reaction since this is all organc , no chemicals, no pesticides, or preservatives and not tested on animals. The only downside is the travel pack is too small for a two week vacation, they are one ounce bottles enough for a weekend. I had to pack other 3 ounce bottles of shampoo, conditioner, and body wash. If if burts bees made this in a 3.4 oz travel (TSA regulations) then it would be great.
I can testify that burts bees is good for you and the enviroment.","I like the fact that I do not have a reaction since this is all organc , no chemicals , no pesticides , The only downside is the travel pack is too small for a two week vacation , they are one ounce bottles enough for a weekend . If if burts bees made this in a 3.4 oz travel ( TSA regulations ) then it would be great . that burts bees is good for you",5.000000
A270QYQEV3CQGH,B00112DRHY,1,-1,3,"This product was one of many in a birthday basket. I have not heard anything negative from the person who received the basket therefore, I am assuming it was good.","I have not heard anything negative from the person therefore , I am assuming it was good .",3.000000
A1LHAXBM5GBJS2,B0017TZD7S,-1,1,4,"If you share a bathroom with a female, be it a wife, girlfriend, daughter, are roommate, you know what a loofa is because it is most likely hanging from your shower head right now.  And the Axe Detailer Shower Tool is basically a loofa marketed to guys.  The only thing different from the female in your life's besides the color scheme is the flip side that has a rougher scrubber on it for tougher places on your body like the feet, elbows, etc., but that side just feels like an afterthought and I found myself cleaning those areas with the scrubbing side after awhile.  In the end the Ax Shower Tool does get the job done and basically you need to ask yourself, ""Do I want another loofa hanging on my showerhead?""","If you share a bathroom with a female , be it a wife , girlfriend , daughter , are roommate , you know what a loofa is because it is most likely hanging from your shower head right now . And the Axe Detailer Shower Tool is basically a loofa marketed to guys . that has a rougher scrubber on it for tougher places on your body like the feet , elbows , etc . , but that side just feels like an afterthought that side just feels like an afterthought In the end the Ax Shower Tool does get the job done and basically you need to ask yourself , "" Do I want another loofa hanging on my showerhead ? """,4.000000
A2N4OUX2ORC859,B000URXP6E,-1,1,5,Wife uses this cream always. Hard to get.,Hard to get .,5.000000
A2GJX2KCUSR0EI,B0012XPRO8,-1,1,4,"As a shaving cream, this performs well.  It's moisturizing and it washes off without leaving residue.  It works even with razors that are kind of dull (which is good, because I forget to change my razor out as often as I should) -- I didn't cut myself at all.

Because this isn't a foaming product, you do have to use more than you would with some competing products.  I found it non-irritating, too.  (You can see the full ingredients list if you scroll down the main product page.)

This does have a strong smell.  I kind of like it, but I have heard from plenty of people who detest the scent.  It's an artificial blueberry sort of scent.  So if you have reactions to strong fragrances, you may want to stay away.","As a shaving cream , this performs well . It works even with razors that are kind of dull ( which is good , because I forget to change my razor out as often as I should ) -- I did not cut myself at all . I found it non - irritating , too . This does have a strong smell . I kind of like it , who detest the scent . So if you have reactions to strong fragrances , you may want to stay away .",4.000000
A132O42MLTHYSX,B0012Y0ZG2,-1,1,4,"I would give it 5 stars but it is way over priced! My hair is looking better and seems to be healthier but I am using the Reflection Chroma Thermique also so who knows which one is working or if it is the combination..I won't pay that price again, if it were cheaper I would keep using it but I am not going to keep using it at that price..Now that my hair is in better shape I think it will be okay, I had damaged it using bleach..","My hair is looking better I will not pay that price again , if it were cheaper I would keep using it that my hair is in better shape I think it will be okay , I had damaged it using bleach ..",4.000000
A28N2AWOVO2PB,B000PKKAGO,-1,1,5,"I used to wonder what caused redness and skin irritation every time I shaved. When it started for me I tried switching to environmentally friendly shaving cream, then I changed my shaving blades, then I tried changing my aftershave, but nothing helped. Regardless of what I did the irritation always came back.

I think I finally found the answer after I started using the new Philips Norelco drive-shave system. First, let me sing a praise for its smooth design and ingenious way of reminding me when I need to clean the blades (a cool blue image of a water faucet appears on the handle immediately after each shave) and how many minutes of battery life remain (cool blue large numbers appear after every shave as a reminder). As far as I am concerned these are the two main things I need to know so that I can get the job done.  Next, let share with you how wonderful I feel after each shave. The benefits of dry shaving prevented my skin from being exposed to the sharp blades and water, which in my opinion are solely responsible for the irritation of my skin.

If I could recommend one minor improvement, it would be to make the system's blades sensitive enough to be able to remove even the smallest or toughest hairs on my neck. I find myself having to reapply some circulating effort around the same areas every time until I get all the hairs out of the way. Still, this is a small price to pay considering the fact that I am pain and embracement free after each shave. A great gift idea.","I used to wonder what caused redness and skin irritation every time I shaved . When it started for me I tried switching to environmentally friendly shaving cream , then I changed my shaving blades , then I tried changing my aftershave , but nothing helped . Regardless of what I did the irritation always came back . First , let me sing a praise for its smooth design and ingenious way of reminding me when I need to clean the blades ( a cool blue image of a water faucet appears on the handle immediately after each shave ) and how many minutes of battery life remain ( cool blue large numbers appear after every shave as a reminder ) . As far as I am concerned these are the two main things I need to know so Next , let share with you how wonderful I feel after each shave . The benefits of dry shaving prevented my skin from being exposed to the sharp blades which in my opinion are solely responsible for the irritation of my skin . If I could recommend one minor improvement , it would be to make the system 's blades sensitive enough to be able to remove even the smallest or toughest hairs on my neck . Still , this is a small price to pay considering the fact that I am pain and embracement free after each shave . A great gift idea .",4.000000
A132O42MLTHYSX,B0012Y0ZG2,-1,1,4,"I would give it 5 stars but it is way over priced! My hair is looking better and seems to be healthier but I am using the Reflection Chroma Thermique also so who knows which one is working or if it is the combination..I won't pay that price again, if it were cheaper I would keep using it but I am not going to keep using it at that price..Now that my hair is in better shape I think it will be okay, I had damaged it using bleach..","My hair is looking better I will not pay that price again , if it were cheaper I would keep using it that my hair is in better shape I think it will be okay , I had damaged it using bleach ..",4.000000
AABWJ79OLTS38,B000URXP6E,1,-1,2,"I was expecting a gel that would lather up nicely, this is a very thin/water like liquid.  It smells good but the bottle will be gone in 2 weeks because of how thin it is.  I haven't used much, maybe I can return it.","that would lather up nicely , this is a very thin / water like liquid . It smells good",4.000000
A39WWMBA0299ZF,B00EYZY6LQ,-1,1,5,"I am in love with this conditioner. The foaming aerosol device is fun and easy to use. I have to use conditioner daily since I have very silky, straight hair that tangles really bad. My biggest issues with conditioner is that I use WAY too much. I don't really mean to, it just comes flying out of the bottle into my hand. I waste a lot of it. That doesn't happen with this aerosol foam formula. I press down on the top and the perfect amount comes foaming out. Awesome. This conditioner also washes out of my hair quickly. It doesn't feel heavy and thick like some other conditioners.

The conditioner itself smells amazing. It leaves a nice citrus aroma in your hair. Unfortunately, the scent does not last all day. After about an hour or so, I can no longer smell it. It does leave my hair feeling amazing. I didn't notice a huge volume improvement, but my hair is pretty thick to begin with. It did help with my frizz and my tangles. After using this conditioner, the brush runs through my hair very easily.

Overall, this conditioner is not perfect, but I love it. I would definitely buy more of this conditioner.","I am in love with this conditioner . The foaming aerosol device is fun and easy to use . I have to use conditioner daily since I have very silky , straight hair that tangles really bad . My biggest issues with conditioner is I do not really mean to , it just comes flying out of the bottle into my hand . I waste a lot of it . I press down on the top and the perfect amount comes foaming out . Awesome . and thick like some other conditioners . The conditioner itself smells amazing . It leaves a nice citrus aroma in your hair . Unfortunately , the scent does not last all day . or so , I can no longer smell it . It does leave my hair feeling amazing . I did not notice a huge volume improvement , but my hair is pretty thick to begin with . It did help with my frizz and my tangles . After using this conditioner , the brush runs through my hair very easily . Overall , this conditioner is not perfect , but I love it . I would definitely buy more of this conditioner .",5.000000
A3NM1MT3Q2FHXV,B00N2WQ2IW,-1,1,4,"Since a conditioner affects your hair differently based on its unique qualities, I will first state that my hair is very long, thick, wavy, soft, and aging (I'm 50). It is not color treated. I have some flyaway hair and split ends, but nothing too overwhelming. My main concerns are shine enhancement/retention, ease of combing out, and body retention. My hair can take some pretty heavy conditioning without flattening out.

This conditioner left my hair very soft and made it easy to comb through my wet hair after shampooing and conditioning. It's creamy and thick so you don't need a large amount for coverage, even with relatively voluminous hair. While this didn't do too much to enhance shine, it didn't dull what I already had. I found that it smoothed hair a little less (some ""frizzy"" parts) than some conditioners in the lower portions (despite my attention to even distribution) and did a better job smoothing the top. It did not suppress the natural waves my hair has or weigh it down.

All in all, I think this is a pretty good conditioner, but it may work better for someone with younger hair who doesn't need so much in the way of shine enhancement.","that my hair is very long , thick , wavy , soft , and split ends , but nothing too overwhelming . My main concerns are shine enhancement / retention , ease of combing out , My hair can take some pretty heavy conditioning without flattening out . This conditioner left my hair very soft and made it easy to comb through my wet hair after shampooing While this did not do too much to enhance shine , it did not dull what I already had . that it smoothed hair a little less ( some "" frizzy "" parts ) than some conditioners in the lower portions ( despite my attention to even distribution ) and did a better job smoothing the top . It did not suppress the natural waves my hair has All in all , I think this is a pretty good conditioner , but it may work better for someone with younger hair who does not need so much in the way of shine enhancement .",4.000000
AOEUN9718KVRD,B00EYZY6LQ,1,-1,3,"The foam conditioner is easy to use and doesn't leave greasy residue on hair. There was no problem in rinsing it off.
I just don't like the smell, it bothers me. It's very chemical.","The foam conditioner is easy to use and does not leave greasy residue on hair . There was no problem in rinsing it off . I just do not like the smell , it bothers me .",4.000000
A24W4W9E62FZP2,B000URXP6E,1,-1,2,No change my scalp still itches like crazy. It doesnt lather at all so its very hard to move around the hair and scalp. It does smell good and my hair feels clean.,No change my scalp still itches like crazy . It does not lather at all so its very hard to move around the hair It does smell good and my hair feels clean .,4.000000
AI8FN9LAD3WT0,B000FI4S1E,-1,1,5,"This was the best of all the Axe line, and they discontinued it. I wish they would bring it back. :(","This was the best of all the Axe line , and they discontinued it . I wish they would bring it back . :(",5.000000
AROYPRQ35VSAT,B0012Y0ZG2,-1,1,5,If they discontinued this scent I would go postal. <3,If they discontinued this scent I would go postal .,5.000000
A1X60YTH1F0Y9A,B001OHV1H4,-1,1,5,"Finding a ""natural"" shampoo that isn't disappointing is a challenge. They usually fail to lather and leave hair feeling dry or dull. This shampoo lathers just enough and as someone with straight, somewhat thin hair, I've been pleased with the way this shampoo really does smooth the hair but without weighing it down.","Finding a "" natural "" shampoo that is not disappointing is a challenge . They usually fail to lather and leave hair feeling dry or dull . This shampoo lathers just enough and as someone with straight , somewhat thin hair , I have been pleased with the way this shampoo really does smooth the hair",5.000000
AKJHHD5VEH7VG,B007V6JNE0,1,-1,3,"I'm giving this three stars because it does work but the results do not justify the price.

I've been using this for over two months. Before I started I couldn't even get my lashes on a curler. They were that short. Within two and a half weeks I could see a difference. Within a month I could get my lashes on a curler.

This product did make my eyelids itchy. No irritation in my eye though when I accidentally got some in it.  I also noticed a weird looking line above my lahses that is lighter than the rest of my skin.

I've used this as directed.  I did see improvement but I think there is a natural plateau to the lenght and amount of eyelashes that one's DNA will allow. I've hit mine.  Overall a good product but I can't see spending the money on it again (I got mine for 60% off and still can't justify it).",I am giving this three stars because it does work This product did make my eyelids itchy . No irritation in my eye though when I accidentally got some in it . I also noticed a weird looking line above my lahses that is lighter than the rest of my skin . I did see improvement but I think there is a natural plateau to the lenght that one 's DNA will allow . Overall a good product,3.000000
A15T9G38F589KM,B00DY59MB6,-1,1,4,This does the job at least as far as the bad breath goes (as for the other claims I'll have to take their word for it).  The one thing I didn't like about it is the way it makes my mouth feel when I use it.  It's like rinsing with hydrogen peroxide and it makes my mouth feel dry.  I usually rinse or drink some water afterwards to re-moisten my mouth.,This does the job at least as far as the bad breath goes ( as for the other claims I will have to take their word for it ) . The one thing I did not like about it is the way it makes my mouth feel It is like rinsing with hydrogen peroxide,4.000000
A2SH7OWE8QJYNC,B000FOI48G,-1,1,5,"After moving across the country we ended up with a dentist who has no sense of humor.  Our family doesn't floss much.  The dentist castigated me for this and I said, ""But I do floss!  Twice a year!"" (meaning that during both of my dental visits the hygientist flosses my teeth).  The dentist and his hygienist were not amused.

So, we got a Water Pik so that next time we go (if we haven't changed dentists by then!) we will be able to tell them we do use it.  It works fine, no problems yet, but I do strongly recommend you put WARM water in it before use.  I tried to cut corners once and use the cold water that was still in it from the morning, and it was like cold needles shooting into my gums!","who has no sense of humor . and his hygienist were not amused . It works fine , no problems but I do strongly recommend you put WARM water in it before use . I tried to cut corners once and use the cold water and it was like cold needles shooting into my gums !",5.000000
A31HMJPZBE79NG,B001OHV1H4,-1,1,5,"Before writing this review I used up the entire bottle of the calm shampoo and conditioner. It never made my scalp break out and made my hair super soft. If you are looking for more volume try the argon shampoo and conditioner. I basically used this one when I was wearing my hair straight and using a straightening iron. I would recommend this product. I have color treated hair with a slightly wavy, medium texture.",Before writing this review I used up the entire bottle of the calm shampoo It never made my scalp break out and made my hair super soft . when I was wearing my hair straight I would recommend this product .,5.000000
A2C8L2HEMJ4VT7,B000URXP6E,-1,1,5,"This is my favorite body wash of all time. I love how my skin feels, the scent of it and that it comes in non-breakable bottles but, it is not available to purchase anymore. These last few bottles I was able to purchase were ridiculously overpriced yet, I still bought them. I don't understand why the company stopped making this product and would love to find something similar to replace this as my everyday body wash.","This is my favorite body wash of all time . I love how my skin feels , the scent of it but , it is not available to purchase anymore . These last few bottles I was able to purchase were ridiculously overpriced I do not understand why the company stopped making this product why the company stopped making this product and would love to find something similar to replace this as my everyday body wash .",5.000000
A1YVFD3TLX6E22,B0012Y0ZG2,-1,1,4,"I've used a chemical shampoo for too long and my hair started breaking off! So with a lot of research I bought this! It has made my hair (which is thin with oily roots and dry ends) way stronger and shinny without being oily! It's really fantastic. I took a star away for 2 reasons, one is because the price is a bit outrages, and two is because if I use it every day my hair starts to get buildup so I have to find a clean shampoo that washes away the build up to use twice a week..","and my hair started breaking off ! and dry ends ) way stronger It is really fantastic . because the price is a bit outrages , so I have to find a clean shampoo",4.000000
A1F7YU6O5RU432,B00L1I1VMG,-1,1,5,"These seem to actually work. They help bring down tooth sensitivity a bit more effectively that just tooth sensitive tooth past. They're more concentrated, and you leave them in your mouth for a longer period of time (10 minutes). They are just small strips, meant for applying to portions of your mouth. It's not a whole mouth piece for all your teeth. The directions mention it might take a few treatments to get the desired level of sensitivity relief, with at least one day between treatments.","These seem to actually work . They help bring down tooth sensitivity a bit more effectively that just tooth sensitive tooth past . and you leave them in your mouth for a longer period of time ( 10 minutes ) . The directions mention it might take a few treatments to get the desired level of sensitivity relief , with at least one day between treatments .",4.000000
A1NXF07STAXNN3,B0012Y0ZG2,-1,1,5,soapy,soapy,5.000000
