reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText,overall_new
A3P4B1RFJCRUR3,B002B3SD6M,-1,1,5,"Was almost scandalized when this wasn't on my ""Greatest Hits"" CD set from Tom... I missed this part of Petty's career, after basically stopping listening to him after the Travelling Wilburys being so ""old""... A friend of mine clued me in on this years later. Don't have the friend anymore, OR Tom, but I'll always have this song.","Was almost scandalized when this was not on my "" Greatest Hits "" CD set from Tom ... I missed this part of Petty 's career , after basically stopping listening to him after the Travelling Wilburys being so "" old "" ... A friend of mine clued me in on this years later . Do not have the friend anymore ,",5.000000
A3FSMU9YNY4KPH,B00E91QBPY,-1,1,5,I bought it didn't I?,I bought it did not I ?,5.000000
A3VCRRAHUYIU4I,B0013G63QK,-1,1,4,not bad,not bad,4.000000
A1FZA9C5MVIWHE,B000Z7S78U,-1,1,5,"Type O Negative definitely sped up their music a notch. their early work, up to October Rust, was slow and heavy, but they have gotten heavier over time. to me, it sounds like they mixed a little Danzig into their music. somewhere, it was said that they were influenced by Sisters of Mercy and Bauhaus. evidently, they are also influenced by Black Sabbath and Danzig as well, the 1st and second songs are faster than previous works, and Peter Steele's baritone voice is replaced by the band's melodic singing. on song no. 3, Peter adapts a hardcore voice at first, and then his signature baritone voice is on and off. he must have been reading the Bible, because the song is about the Apocalypse. one minor complaint is that the lyrics are hard to read, but they make up for it with excellent musicianship. this album is hour and 17 minutes long and the third song alone is 10 minutes long. this is an interesting listen.","Type O Negative definitely sped up their music a notch . their early work , up to October Rust , was slow to me , it sounds like they mixed a little Danzig into their music . that they were influenced by Sisters of Mercy and Danzig as well , the 1st and second songs are faster than previous works , on song no . 3 , Peter adapts a hardcore voice at first , because the song is about the Apocalypse . one minor complaint is that the lyrics are hard to read , but they make up for it with excellent musicianship . and the third song alone is 10 minutes long . this is an interesting listen .",5.000000
A2SPKIX3SIPQHN,B00AQUUCNO,1,-1,3,good music,good music,3.000000
AW1H2SKTOEX5T,B000TEC7BW,1,-1,3,Good,Good,4.000000
A3DZCNEU21MB6L,B001237HCI,1,-1,3,"I knew that I was getting something different with this Jewel...and how would that work out?  It is most definitely her beautiful voice and flair for some whimsical and fun lyrics that save this album that is musically not in her tone nor fit her style very well.  I appreciate Jewel trying something new and I also am glad she got it out of her system and didn't find the need to go back to this as this style of music and production doesn't fit her folksy shape and leanings.  A big part of her draw is her earthy, grounded guitar and other natural instrumental sounds; you won't find much of that here.  This synth-pop-techno music strips away some of her soul.  Still, even if the style is beneath her her voice still is as lovely as ever, even beneath and through so much digitization.

1) Stand: it's okay.  Starting us off with Jewel's voice front and center as uninspired, syncopated beats and some buzzes chirp here and there.  ""Reach"" would have been an appropriate title as she is reaching for something different here and this song sets the tone for the album pretty well.
2) Run 2 U: her lovely,soft voice saves a song without musical importance.
3) Intuition: Singing twice and three times over her own voice and some fun namedropping in the lyrics with a buzzy chorus lifts this otherwise forgettable piece.
4) Leave the Lights On: Now here's something that starts off a little more interesting with some brassy woodwinds and a bluesy style.  Unfortunately when Jewel gets to the chorus the song loses steam but this is the most interesting song of the CD so far.
5) 2 Find U: Weak.
6) Fragile Heart: A bit slow with a country guitar twang slowly plucked.  Too slow, though.
7) Doin' Fine: ""We are what everyone wants to be.""  We are doin' fine.  Buried in the middle of the record the song is rather okay.
8) 2 Become 1: The music is much more engaging and natural.  This feels like a Jewel song and could be on any one of her albums (minus the way she is ""spells"" the song title...).
9) Haunted: A seductive and creepy song.  Totally cool and different.  Uh, and kinda sensuous.  Jewel's moaning at the end of the song is...well, let's just say that I'm glad that it doesn't go on too long.
10) Sweet Temptation: Sounding much more like a Shakira pop song this one actually pretty much works and is much better than any of the first three songs.
11) Yes U Can: This one might just make you dance.  Again, a love and sex song that is both a joinder and a cautious observation.  It is minorly infectious.
12) U & Me = Love: Dance pop bubblegum fluff.  Blech.
13) America: Overly easy political thoughts are dispensed.  It's okay, unless you're tired of hearing popsters and others bagging on America.  Not nearly one of her best social observation songs (probably because it's so politicized).
14) Becoming: Lyrically well-suited to the empty dance-pop genre, Jewel witnesses her own ""becoming"" with her heart.  Ahhh, isn't that nice.  Maudlin stuff.

As you might have guessed this isn't my favorite Jewel album.  But there is at least one gem on here and a few other songs that work.  If you're interested in what Jewel has to offer I'd highly suggest starting elsewhere (personally, I'd direct you to ""This Way"") and if you like your techno-dance-pop I'd look somewhere else too.","that I was getting something different with this Jewel ... that work out ? It is most definitely her beautiful voice and flair for some whimsical and fun lyrics that save this album that is musically not in her tone nor fit her style very well . I appreciate Jewel trying something new and I also am glad she got it out of her system and production does not fit her folksy shape and other natural instrumental sounds ; you will not find much of Still , even if the style is beneath her her voice still is as lovely as ever , even beneath 1 ) Stand : it is okay . Starting us off with Jewel 's voice front "" Reach "" would have been an appropriate title as she is reaching for something different here and this song sets the tone for the album pretty well . YOU : her lovely , soft voice saves a song without musical importance . and some fun namedropping in the lyrics with a buzzy chorus lifts this 4 ) Leave the Lights On : Now here is something that starts off a little more interesting with some brassy woodwinds Unfortunately when Jewel gets to the chorus the song loses steam but this is the most interesting song of the CD so far . 5 ) 2 Find YOU : Weak . 6 ) Fragile Heart : A bit slow with a country guitar twang slowly plucked . Too slow , though . 7 ) Doing Fine : "" We are what everyone wants to be . "" We are doing fine . Buried in the middle of the record the song is rather okay . 8) 2 Become 1 : The music is much more engaging and natural . This feels like a Jewel song 9 ) Haunted : A seductive and creepy song . Totally cool and kind of sensuous . Jewel 's moaning at the end of the song is ... well , let us just say that I am glad 10 ) Sweet Temptation : Sounding much more like a Shakira pop song this one actually pretty much works and is much better than any of the first three songs . Yes YOU Can : This one might just make you dance . Again , a love and a cautious observation . YOU & Me = Love : Dance pop bubblegum fluff . Overly easy political thoughts are dispensed . It is okay , unless you are tired of hearing popsters Not nearly one of her best social observation songs ( probably 14 ) Becoming : Lyrically well - suited to the empty dance - pop genre , Jewel witnesses her own "" becoming "" with her heart . that nice . As you might have guessed this is not my favorite Jewel album . But there is at least one gem on here that work . If you are interested in what Jewel has to offer I would highly suggest starting elsewhere ( personally , I would direct you to "" This Way "" ) and if you like your techno - dance - pop I would look somewhere else too .",3.000000
A2BDJSSBYKOLU2,B00NQ3LORQ,-1,1,4,I  really love this song EXCEPT for the rapping part by 2 Chainz. It ruins the song and it's stupid. The artist needs to release 2 versions of a song- one with the rap crap and one without!!  This way people have a choice if they don't like rap.  Maybe I will start a petition to have the rap part removed.,I   really love this song EXCEPT for the rapping part by 2 Chainz . It ruins the song and it is stupid . The artist needs to release 2 versions of a song- one with the rap crap This way people have a choice if they do not like rap .,4.000000
A3TEU7G2FCRKI8,B001AXKW9A,1,-1,3,Great music,Great music,3.000000
A3AL8GQ69QE7WN,B009IFYYIC,1,-1,3,"You know you've seen them. You know what I'm talking about. You know the men who look slightly off because there is something just slightly askew about their appearance. You know, the men who should be graying, but they're still trying to look young, and so they dye their hair a dark color and it makes them look odd and pasty? Well, that's ""Songs for the End of the World"" and Rick Springfield at this point.

Something is just off. Why doesn't Rick look 63? Why does his music sound like it's for kids? Oh sure, he's adapted, unfortunately he's adapted to Blink 182, Fall Out Boy, Panic at the Disco, and all the other bland trendy emo/punk bands of the last decade. Now sure, Rick rocks and he rolls, but he just doesn't bring the hooks and melodies. He gussies his songs up and tries to knock your socks off, but it just comes off like some kind of weird overcompensation. Like someone who is trying really really hard to sound hip and not old.

And this bothers me. You see, Lindsey Buckingham, Tom Waits and Bruce Springsteen were also all born in 1949 just like Rick. If you listen to each of their last albums you will hear (and see) that they have aged gracefully, doing their own thing, not trying to go with the trends, and they all still bring the hooks and melodies and (look their age) and sound respectable. But Rick here, well, you see, he's like that guy I was talking about earlier--the guy who is old but pretends to be young and it doesn't work (or look quite right).

My first Springfield cassette was 1984's ""Hard to Hold"", and I've stuck with him ever since. But you know, when I went back and listened to all of the albums I own leading up to this new release, the one thing I came away with is that Rick is more of a singles guy rather than an album guy. Every album of his has some really good tracks rounded out with filler. ""Songs for the End of the World"" is no different.

In fact, the strongest songs are at the front with ""Wide Awake"", ""Our Ship's Sinking"" and ""I Hate Myself"" being the best songs on the entire disc. I suppose ""Gabriel"" is decent, and maybe ""You & Me"". I liked ""One Way Street"", but all I could think about is how the guitar intro comes dangerously close to The Who's ""Pinball Wizard"". And again, although Rick has updated his sound, he has now churned out the same album at least three times--2004's ""Shock/Denial/Anger/Acceptance"" and 2008's ""Venus in Overdrive"" and now ""Songs"". And although I've enjoyed Rick's output since 1999, the honest truth is (and you know it's True if you're being honest with yourself here) that Rick's best work was with RCA. You know 1981 to 1988. That was when he was at his best. From 1999 to 2012, well that's just Rick keeping pace and sounding (and looking) slightly off.

I believe Rick has one great album left in him, but will he dispense with this emo/punk/pop sheen that he thinks will keep him younger, and just go for it. Just give us the power pop snyth/guitar melodies that made his 1980s work so good. He can just update the instruments.

Obviously Rick still has some rabid fans because five stars for ""Songs"" is just not possible. It isn't five stars, and it isn't the best album of his career. Like most of his recent work it's just good. Also, the gimmick of using your iPhone application to recognize photos on the insert is kind of cheesy. I did it, and the extra content did not impress me, and there wasn't that much.

I'm going to be the lone voice of reason here and take the heat by saying that it's okay Rick, you can age now, you can give us what we want--your gray hair and pop melodies that actually sound like you and not the band of the moment. It's okay to show some wrinkles and fat, you've earned it. It's okay to make more than one or two hits per album. I give you my permission to make a 12 song or 10 song set that will stand as your Sgt. Peppers.

It's also okay to not make every song sound almost the same as the next, a problem I found with ""Songs"".

Also, isn't it about time someone did something about the Springfield catalog? I mean, where's the digitally remastered catalog with bonus tracks or bonus discs? Heck, where's Rick's first five albums from the 1970s? Terribly hard to find in compact disc except for a few. ""Wait for Night"" and ""Beautiful Feelings"" near impossible to find on compact disc. Will we ever get to hear the original ""Beautiful Feelings"" or will it remain just the 1984 re-recordings?

Here's how ""Songs for the End of the World"" compares to Rick's other works:

1972 Beginnings: I haven't heard this.
1973 Comic Book Heroes: I haven't heard this.
1974 Mission Magic!: I haven't heard this.
1976 Wait for Night: I haven't heard this.
1978/1984 Beautiful Feelings: I haven't heard this.
1981 Working Class Dog: Three Stars
1982 Success Hasn't Spoiled Me Yet: Five Stars
1983 Living in Oz: Four Stars
1984 Hard to Hold: Two and a Half Stars
1985 Tao: Four Stars
1988 Rock of Life: Three Stars
1997 Sahara (by Sahara): I haven't heard this.
1999 Karma: Two Stars
2004 Shock/Denial/Anger/Acceptance: Two and a Half Stars
2005 The Day After Yesterday: Two and a Half Stars
2007 Christmas With You: I haven't heard this.
2008 Venus in Overdrive: Three Stars
2009 My Precious Little One: I haven't heard this.
2012 Songs for the End of the World: Two and a Half Stars","and so they dye their hair a dark color and it makes them look odd and it makes them look odd Well , Why does his music sound like it is for kids ? Oh sure , he is adapted , unfortunately he is adapted to Blink 182 , Fall Out Boy , Panic at the Disco , and all the other bland trendy emo / punk bands of the last decade . Now sure , Rick rocks and tries to knock your socks off , but it just comes off like some kind of weird overcompensation . Like someone who is trying really really hard to sound hip And this bothers me . and Bruce Springsteen were also all born in 1949 just like Rick . that they have aged gracefully , doing their own thing , not trying to go with the trends , and sound respectable . But Rick here , well , you see , he is like but pretends to be young and it does not work ( or look quite right ) . My first Springfield cassette was 1984 's "" Hard to Hold "" , and I have stuck with him ever since . and listened to all of the albums I own leading up to this new release , the one thing I came away with is Every album of his has some really good tracks rounded out with filler . "" Songs for the End of the World "" is no different . In fact , the strongest songs are at the front with "" Wide Awake "" , "" Our Ship 's Sinking "" and "" I Hate Myself "" being the best songs on the entire disc . I suppose "" Gabriel "" is decent , I liked "" One Way Street "" , but all I could think about is how the guitar intro comes dangerously close to The although Rick has updated his sound , he has now churned out the same album at least three times--2004 's "" Shock / Denial / Anger / Acceptance "" although I have enjoyed Rick 's output since 1999 , the honest truth is ( and you know it is True if you are being honest with yourself here ) that Rick 's best work was with RCA . when he was at his best . From 1999 to 2012 , well I believe Rick has one great album left in him , but will he dispense with this emo / punk / pop sheen that made his 1980s work so good . Obviously Rick still has some rabid fans and it is not the best album of his career . Like most of his recent work it is just good . Also , the gimmick of using your iPhone application to recognize photos on the insert is kind of cheesy . and the extra content did not impress me , I am going to be the lone voice of reason here that it is okay Rick , you can age now , you can give us what we want -- your gray hair that actually sound like you It is okay to show some wrinkles and fat , you have earned it . It is okay to make more than one It is also okay to not make every song sound almost the same as the next , a problem I found with "" Songs "" . where is the digitally remastered catalog with bonus tracks or bonus discs ? Heck , Terribly hard to find in compact disc except for a few . and "" Beautiful Feelings "" near impossible to find on compact disc . Will we ever get to hear the original "" Beautiful Feelings "" Here is how "" Songs for the End of the World "" compares to Rick 's other works : 

 1972 Beginnings : I have not heard this . 1973 Comic Book Heroes : I have not heard this . 1974 Mission Magic ! : 1978/1984 Beautiful Feelings : I have not heard this . 1982 Success Has not Spoiled Me 1984 Hard to Hold : Two 2004 Shock / Denial / Anger / Acceptance : Two 2009 My Precious Little One : I have not heard this .",4.000000
