reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText,overall_new
A1TF2HW3RB4895,B0098MTEDU,-1,1,5,"Its power and toughness are equal to the number of creatures you control. Note that it's not on your side of the field; anybody trying to swipe your monsters won't bring its beat-status down. So build up a field, whether keen tokens or speedy cheap drops, and beef it up.

Whenever it hits a player for combat damage, it populates. (If you don't know what populate means, it lists it on this card.)
That's great for building up any tokens you've made, especially since you have token options in every color! So besides just doing a populate on something in Selesnya (8/8 GW vigilant Elemental tokens from ""Grove of the Guardian"" 's ability, for example), you can do that with Vraska's black Assassin tokens in Standard, or any token allies from the Zendikar block (blue/white in the case of a friend of mine) in Modern. Bant decks, Naya decks, any multi-color shenanigans that have some focus on creature-based damage.

Note too that it says when it deals combat damage to a ""player"", not ""opponent"". This means if you have some creative way of hitting yourself and not regretting it (or just get its damage redirected to your face instead of their's), you still populate.

It's a wonderful beater later-game for three anyways, whether you populate with it or not. But with that ability, why wouldn't you?","and toughness are equal to the number of creatures you control . that it is not on your side of the field ; anybody trying to swipe your monsters will not bring its beat - status down . So build up a field , whether keen tokens or speedy cheap drops , Whenever it hits a player for combat damage , it populates . That is great for building up any tokens you have made , especially since you have token options in every color ! So besides just doing a populate on something in Selesnya ( 8/8 GW vigilant Elemental tokens from "" Grove of the Guardian "" 's ability , for example ) that with Vraska 's black Assassin tokens in Standard , or any token allies from the Zendikar block ( blue / white in the case of a friend of mine ) in Modern . that have some focus on creature - based damage . when it deals combat damage to a "" player "" , not "" opponent "" . This means if you have some creative way of hitting yourself and not regretting it ( or just get its damage redirected to your face instead of their 's ) , you still populate . It is a wonderful beater later - game for three anyways , whether you populate with it that ability ,",5.000000
AQYFN8CQ573FQ,B000Y9MJ60,-1,1,5,"and the kids had the option to take it home as a finger puppet.  The cupcakes were adorable, used a bottom color of frosting, then a 2nd color that was different than the bottom of the toy so that it ""popped"" more and they all turned out great.","and the kids had the option to take it home as a finger puppet . The cupcakes were adorable , used a bottom color of frosting , then a 2nd color that was different than the bottom of the toy so and they all turned out great .",5.000000
A2K7OXBG3BS35N,B0002YDQ6O,-1,1,4,"My 2.5 year old son enjoys this. It was a value for ten bucks, but plan on spending some time cutting the pieces apart with wire snips before assembly. Also, the stickers that decorate it are not really waterproof and began to fail after a few uses. It's not high quality but still a lot of fun for the price tag.","My 2.5 year old son enjoys this . It was a value for ten bucks , but plan on spending some time cutting the pieces apart with wire snips before assembly . and began to fail after a few uses . but still a lot of fun for the price tag .",4.000000
A1H25GH5TNI35,B00AF4N706,1,-1,3,Super cute!! Box arrived damaged and ripped but I'm hoping the tricycle is still in tact. Now I have to open it and put it together before Christmas to make sure everything is how it's supposed to be.,Super cute ! ! Box arrived damaged and ripped but I am hoping the tricycle is still in tact . and put it together before Christmas to make sure everything is how it is supposed to be .,3.000000
A5DPWXK7YAMY3,B00NQBAZRS,1,-1,1,"This is the floating disc we wanted, to replace one that got torn after 2 years of use, but it has been discontinued.","that got torn after 2 years of use , but it has been discontinued .",1.000000
A3I8FNRQAU6T1T,B00CE3IAIU,1,-1,3,"This is a fun little game that I have enjoyed very much.  It is easy to learn and the quality of the figures is excellent.  The detail is really amazing.
  The only thing that prevents a higher rating is the fact that two of the figures where detached from their bases when I opened the box.  A bit of glue and they where good to go though.",This is a fun little game that I have enjoyed very much . It is easy to learn and the quality of the figures is excellent . The detail is really amazing . that prevents a higher rating is the fact where detached from their bases where good to go though .,3.000000
A1V3PCKVCJ3TTZ,B01DWQR0LA,-1,1,4,"I got this on a free trial.  My dogs will try and gnaw off my arm when I stop giving it to them, but the price if I had to buy it is really high.  No doubt to the quality and when you look at the ingredients, they basically take ducks and grind them up because there ain't much in here it but duck.  If I were buying it, I would consider for one of two things.  The first would be for training treats.  The second would be for the zombie apocalypse as it is basically freeze-dried dog food.  The bag only shows a one year shelf life, but freeze dried material is usually a much longer life.  I think if you emptied this into a vacuum packed bag, ten years would be nominal.  We are ""semi-preppers"" so having our dog's food taken care of would be an added plus.","I got this on a free trial . when I stop giving it to them , No doubt to the quality and grind them up The second would be for the zombie apocalypse as it is basically freeze - dried dog food . but freeze dried material is usually a much longer life . I think if you emptied this into a vacuum packed bag , ten years would be nominal . We are "" semi - preppers "" so having our dog 's food taken care of would be an added plus .",4.000000
A1OY40IUP5O8IR,B00CNNPOHQ,1,-1,3,"I thought these were kind of useless, but my son definitely seemed to enjoy them.","I thought these were kind of useless , but my son definitely seemed to enjoy them .",3.000000
AYLREOYOI2QJB,B005FYEAJ8,-1,1,5,"This thing is amazing! I read reviews on this item, and was leery about it as well as the helium tank. BUT. My doubts have been vanquished. It's a little tedious to put it together at first, but mainly because a few extra stickers, parts, etc were in the package that weren't needed for making the balloon (so I got confused). I also bought my helium tank from Party Supplies due to the negative reviews on the Toys R Us tank. I believe there is maybe one more fill left in the little tank ($50 for 2 fills is kind of lame) but it worked as desired. Ultimately, I would take this balloon to get it filled FOR YOU vs buying a tank...it can't be more than $5. As far as the finished product, I loved it. My 5 year old son loved it, too, even though he stopped playing with it after a week. The helium held for weeks, though the longer the balloon sits, the more putty you'll have to take out for even weight distribution.","This thing is amazing ! and was leery about it as well as the helium tank . My doubts have been vanquished . It is a little tedious to put it together at first , that were not needed for making the balloon ( so I got confused ) . I also bought my helium tank from Party Supplies due to the negative reviews on the Toys R Us tank . I believe there is maybe one more fill left in the little tank ( $ 50 for 2 fills is kind of lame ) but it worked as desired . Ultimately , I would take this balloon to get it filled FOR YOU vs buying a tank ... it can not be more than $ 5 . As far as the finished product , I loved it . My 5 year old son loved it , too , even though he stopped playing with it after a week .",5.000000
AN8WCNTC7Q4VE,B016XIMFQY,-1,1,5,daughter loved it! It looks and feels like makeup! bag is big to hold other stuff she has like lip glosses.,daughter loved it ! and feels like makeup ! bag is big to hold other stuff she has like lip glosses .,5.000000
