reviewerID,itemID,overall,fine_feature,coarse_feature
A2UEO5XR3598GI,B0000530HU,5,"[5.        5.        5.        5.        5.        2.0008376 5.
 5.        4.2397623 5.        2.0008376 5.        5.        5.
 5.        5.        5.        3.209625  5.        2.1851249 5.
 5.        5.        2.477425  5.        1.6370001 2.2057374 5.
 5.        5.        5.        5.        2.2057374 0.        5.
 5.        3.5039124 4.4887624 5.        5.       ]",0.989609344402949
A3H7T87S984REU,B0000530HU,5,"[-0.383475  -0.2571375 -0.0154875  0.1782125 -0.2193875  0.1806
  0.09095    0.1806    -0.05765   -0.29455    0.1806    -0.0762
  0.2358625 -0.0522375  0.2358625  0.09095    0.0309625 -0.0714125
  0.028575   0.1806     0.58975   -0.3120625 -0.222775   0.
 -0.11395    0.1806     0.3855     0.316675   0.092675  -0.158675
 -0.165125   0.035025   0.3855     0.        -0.158675  -0.5084875
 -0.1449125 -0.1496375  0.035025  -0.3100375]",0.9895050346851348
A3J034YH7UG4KT,B0000530HU,1,"[ 0.34255   0.34255  -0.188025  0.34255   0.34255   0.1806   -0.10705
  0.261575  0.080975  0.16195   0.261575  0.261575  0.34255   0.34255
  0.34255   0.34255   0.34255   0.34255   0.34255   0.1806    0.34255
  0.080975  0.34255   0.       -0.10705   0.1806    0.1806    0.261575
 -0.15125   0.1806    0.261575 -0.10705   0.261575  0.080975  0.261575
 -0.33185   0.16195   0.080975  0.34255  -0.10705 ]",0.18951042532920837
A3U05BH8UYBNLE,B00006L9LC,5,"[0.080975 0.080975 0.       0.080975 0.080975 0.       1.075125 0.080975
 0.080975 0.16195  0.080975 0.       0.080975 1.1561   0.080975 0.080975
 1.1561   0.080975 0.080975 0.       0.080975 0.080975 0.080975 0.
 0.080975 0.       0.       0.       0.080975 0.       0.       0.080975
 0.       0.080975 0.       0.080975 0.080975 0.       0.080975 0.080975]",0.9899407708644867
AUBJHP5EYBWWT,B00006L9LC,5,"[0.1842875 0.368575  0.        0.368575  0.1842875 0.        0.1842875
 0.        0.1842875 0.1842875 0.        0.1842875 0.1842875 0.1842875
 0.1842875 0.1842875 0.1842875 0.1842875 0.1842875 0.1842875 0.1842875
 0.1842875 0.1842875 0.        0.1842875 0.        0.        0.1842875
 0.1842875 0.1842875 0.        0.1842875 0.        0.        0.1842875
 0.        0.1842875 0.1842875 0.1842875 0.1842875]",0.9899743378162384
A2WA4LQGM8X68D,B00006L9LC,5,"[2.8931875 2.8931875 0.        0.2318125 5.        0.        5.
 2.3998    0.2318125 5.        0.206525  2.8381374 0.4933875 2.8381374
 5.        5.        5.        2.9482374 2.8931875 0.2318125 5.
 5.        5.        2.609375  2.9482374 0.        0.        0.2868625
 0.206525  2.8411875 0.        2.8931875 0.        0.        0.4933875
 0.        2.8381374 5.        5.        2.8931875]",0.989978301525116
A2PUZMHH482FU7,B00006L9LC,5,"[1.5010625 1.4460125 1.140775  0.3052375 2.3618875 1.4460125 3.5026624
 0.        0.        2.0016    0.        2.28155   1.140775  1.140775
 2.3618875 3.142375  2.3618875 0.665525  1.8063    0.        2.0016
 1.6963625 3.5026624 1.6963625 1.140775  0.        0.        1.140775
 0.3052375 1.1660625 0.3052375 2.947075  0.        0.        0.
 0.8355375 0.8355375 2.0016    2.3618875 1.5010625]",0.9898991292715072
A257PM313YL6AY,B00006L9LC,5,"[-0.41065   -0.1771    -0.3675375 -0.252325  -0.4813     0.0842875
  0.5389375  0.1720375  0.         0.1720375  0.         0.236025
 -0.4949375 -0.4524375  0.0112     1.2856375  0.0639875  0.0639875
  0.002475   0.        -0.4524375  0.3178375  0.0917     0.
 -0.24775    0.         0.        -0.0818125  0.        -0.1458
 -0.631675   0.5161125  0.         0.        -0.370625   0.163175
 -0.0615125 -0.23355   -0.424725  -0.1859625]",0.9899725937843322
A1MBLC4ZSP4QEB,B00006L9LC,5,"[0.368575  0.368575  0.1842875 0.368575  0.368575  0.        0.368575
 0.1842875 0.1842875 0.368575  0.1842875 0.368575  0.368575  0.368575
 0.368575  0.368575  0.368575  0.368575  0.368575  0.1842875 0.368575
 0.368575  0.368575  0.        0.368575  0.        0.1842875 0.368575
 0.1842875 0.368575  0.1842875 0.368575  0.        0.        0.368575
 0.1842875 0.368575  0.368575  0.368575  0.368575 ]",0.9899790489673614
A22XX80SB8WMUK,B00006L9LC,5,"[0.17345 0.      0.17345 0.      0.      0.      0.17345 0.      0.
 0.17345 0.      0.      0.      0.      0.      0.17345 0.      0.
 0.      0.      0.      0.      0.      0.      0.      0.      0.
 0.      0.17345 0.      0.      0.      0.      0.      0.      0.
 0.      0.      0.17345 0.     ]",0.9899800229072571
AZ520NWW40I9B,B00006L9LC,5,"[ 2.636      3.4487374  0.7181625  0.6109875  3.4487374  0.044475
  1.5537     1.1672375  0.0222375  1.5537     0.31975    1.6799375
  0.7181625  1.5537     3.1517875  2.0694876  1.4687625  0.21575
  2.784475  -0.148475   2.0974126  1.0632375  3.215325   0.857775
  1.5537     0.         0.         1.382425   0.7315375  1.004825
  0.255625   1.702175   0.8355375  0.        -0.1262375  1.2117125
  1.189475   1.71555    3.0312376  1.5537   ]",0.9899787318706512
AMKL90GGNP276,B00006L9LC,5,"[ 2.1460626  1.8485     0.9237     1.8366     2.1153126  0.669825
  2.1460626  0.1372125  0.206525   0.849975   0.488875   2.516175
  1.88385    2.17       2.17       1.7645375  2.0716     2.233825
  2.17       0.206525   2.17       0.488875   1.7624375  0.
  2.3538375  0.        -0.063825   0.8618625  1.6812375  0.812525
  1.089275   1.8839625  0.         0.         0.666925  -0.1477875
  0.9317875  0.955225   2.1847625  2.0327876]",0.9899745190143585
A1C03381HL8SWG,B00006L9LC,5,"[0.8355375 0.8355375 0.8355375 0.        0.8355375 0.        0.8355375
 0.        0.        0.122075  0.        0.8355375 0.8355375 0.8355375
 0.8355375 0.8355375 0.8355375 0.        0.8355375 0.        0.8355375
 0.8355375 0.8355375 0.8355375 0.8355375 0.        0.        0.8355375
 0.        0.        0.        0.8355375 0.        0.        0.
 0.8355375 0.8355375 0.8355375 0.8355375 0.8355375]",0.9899760591983795
A1Z14Z7HOM429U,B00006L9LC,5,"[0.       0.       0.       0.119325 0.119325 0.       0.       0.119325
 0.       0.119325 0.       0.       0.       0.119325 0.       0.
 0.       0.       0.23865  0.       0.119325 0.       0.119325 0.
 0.119325 0.       0.       0.119325 0.       0.       0.       0.23865
 0.       0.       0.119325 0.119325 0.       0.23865  0.       0.      ]",0.9899097180366516
A2VZXAAEWAO7PG,B00006L9LC,5,"[4.447875  4.447875  2.408225  1.8553625 4.447875  0.        4.447875
 0.        1.8553625 4.2635875 0.        4.447875  4.2635875 4.447875
 4.447875  4.2635875 4.2635875 2.03965   4.447875  1.8553625 4.2635875
 4.2635875 4.447875  2.408225  4.2635875 0.        0.        4.447875
 0.1842875 1.8553625 0.        4.447875  0.        0.        1.8553625
 2.408225  4.447875  4.2635875 4.447875  4.2635875]",0.989979909658432
A23NSBJ5CGLWAA,B00006L9LC,5,"[5.       5.       5.       1.693575 5.       1.251575 5.       0.4033
 1.385175 1.471775 1.288675 1.693575 5.       5.       5.       5.
 5.       5.       5.       1.068475 5.       1.288675 5.       0.
 5.       0.       1.068475 5.       5.       0.4033   1.606975 5.
 0.0965   0.       5.       1.288675 4.759375 1.664775 5.       5.      ]",0.9899701702594756
