reviewerID,itemID,overall,fine_feature,coarse_feature
A2B33XXX3MZC6R,B00006L9LC,5,"[0.3218375 0.1842875 0.1842875 1.7665875 0.3218375 0.        0.3218375
 0.3218375 0.3218375 0.1842875 0.3218375 0.212575  0.        0.212575
 0.1092625 0.3218375 0.        0.29355   0.3218375 0.13755   0.
 0.        0.1092625 0.        0.        0.        0.29355   1.525725
 0.        0.        0.        0.        0.1842875 0.1092625 0.1092625
 0.        0.3218375 0.        0.        0.29355  ]",0.9899712574481964
A2W78060JSRKED,B00006L9LC,5,"[5.        0.588375  0.        3.939275  5.        0.        3.9156876
 5.        1.7647375 0.        5.        0.        0.251575  5.
 1.8034375 0.1064375 1.7658875 4.055275  1.879025  3.47245   0.
 0.        0.        0.        1.62745   0.6948125 1.62745   3.8037
 0.        1.911025  0.        0.1064375 3.35645   3.44045   0.
 0.        1.8034375 3.976825  0.        3.576025 ]",0.9899773955345154
A89GFB5RTGC8Z,B00006L9LC,5,"[ 1.682225   0.         0.         1.65945    3.3478625  0.
  1.682225   1.6884125  0.022775   0.         1.705      0.
  0.0621375  1.6656375  0.022775  -0.0104     1.682225   1.705
  1.7215875  3.341675   0.         0.         0.         0.
  1.65945    0.022775   1.6428626  1.65945    0.         1.682225
  0.         0.022775   1.6428626  1.6656375  0.022775   0.
  0.0621375  0.         0.0393625  1.6656375]",0.9899779391288757
A2JRCTJU21AJ4X,B00006L9LC,5,"[2.9002    0.        0.        5.        4.8389874 0.2793375 2.5591626
 5.        0.        0.        5.        0.        0.        5.
 0.2793375 0.        2.279825  5.        2.279825  2.5591626 0.
 0.2793375 0.        0.        2.279825  0.620375  2.279825  4.8389874
 0.        2.279825  0.        0.        2.5591626 3.1795375 0.2793375
 0.        0.        2.279825  0.        2.5591626]",0.989970532655716
A34Z0P70GD9Y6Y,B00006L9LC,5,"[-0.6606      0.01539999 -0.7537      0.2162375  -0.554525    0.
  0.84679997  2.345025    1.9307501   0.          2.0747375   0.2261
  0.08176251  0.343225    0.5338625   0.3354125   1.6549251   1.6916876
 -0.686625    0.1314875   0.          0.          0.049725    0.
 -0.7537     -0.4680125   1.582275    3.0143502   0.         -0.03928751
  0.          0.2856875   0.99266255  5.          0.049725    0.
 -0.22026253  0.          0.          3.0034125 ]",0.9898024223248164
A39JMSWQA06ZN6,B00006L9LC,5,"[0.      0.      0.      0.05505 0.05505 0.      0.1101  0.1101  0.
 0.      0.1101  0.      0.05505 0.05505 0.      0.      0.      0.05505
 0.      0.      0.      0.      0.      0.      0.      0.05505 0.
 0.      0.      0.      0.      0.      0.05505 0.      0.05505 0.
 0.05505 0.      0.      0.05505]",0.9899792754650116
A1X60YTH1F0Y9A,B00006L9LC,5,"[ 1.77115   -0.1187125  0.251675   1.6406875  2.201575   0.
  2.3324     2.6762626  0.6377125  0.0252875  2.689     -0.3079125
  1.019      2.4029624  0.9104     0.3975875  2.21555    2.5092375
  2.1728625  2.2757876  0.         0.         0.         0.
  1.8634875  0.6563     1.804375   2.3668876  0.         2.6532376
  0.         0.6251625  1.8529375  2.781075   0.         0.
  1.228375  -0.087375   0.0833125  2.097475 ]",0.9898822438716888
A2S8GHD5ZLDS2Q,B00006L9LC,5,"[-0.3904375  0.         0.        -0.3238    -0.2027875  0.
 -0.3238    -0.0666375 -0.13615    0.        -0.3904375  0.
  0.         0.         0.        -0.3238     0.        -0.13615
 -0.3238     0.         0.         0.         0.         0.
  0.         0.2571625 -0.3238     0.514325   0.         0.2571625
  0.         0.         0.        -0.6476     0.         0.
  0.         0.         0.         0.       ]",0.9898512136936187
A3CFINYERTHF9Q,B00006L9LC,5,"[0.368575  0.368575  0.1842875 0.368575  0.368575  0.        0.368575
 0.368575  0.1842875 0.1842875 0.368575  0.368575  0.        0.368575
 0.        0.368575  0.1842875 0.368575  0.368575  0.        0.
 0.        0.        0.        0.        0.1842875 0.1842875 0.1842875
 0.        0.        0.        0.        0.1842875 0.        0.
 0.        0.1842875 0.        0.        0.368575 ]",0.989967429637909
A1NP1AD8FGSA71,B00006L9LC,5,"[0.750075 0.       0.       0.       0.750075 0.       0.       0.
 0.750075 0.       0.750075 0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.      ]",0.9899776673316956
AIQ0ABOHK58F6,B00006L9LC,4,"[ 0.1158875  0.         0.         0.         0.42325    0.
  0.359425   0.6029625  0.1797125  0.         0.359425   0.
  0.1797125  0.1797125  0.         0.         0.         0.42325
  0.6029625  0.1797125  0.         0.         0.         0.
  0.        -0.063825   0.         0.         0.         0.1797125
  0.         0.         0.        -0.063825   0.         0.
  0.1797125  0.         0.         0.359425 ]",0.7897842836380005
AY8XPOPF0OVO5,B00006L9LC,5,"[ 1.9913001   0.0516625   0.17745    -0.367975    1.62155     0.
  1.9603875   3.0815125   1.3543625   1.4555      0.42102498 -0.1839875
  2.0062876   2.3252125   0.8054875   0.26006252  0.4662875  -0.66104996
  1.6383126   1.3367125   0.          0.          0.          0.
 -1.0467      0.4991     -0.132325    1.9031626   0.          0.5080375
  0.          0.44405     0.741725    2.2083626   1.5533      0.1806
  0.72485     0.5420375   1.49825     2.14115   ]",0.9899685224890709
A1LCFO492L6K6G,B00006L9LC,5,"[ 1.5701874 -1.039275   1.3682625  2.7287874  1.3315375  0.
  0.0903375  2.4901376  1.1296124  0.         2.4901376  2.7287874
 -0.23865    2.4901376 -0.23865   -1.277925  -1.277925   2.497875
  2.4901376  1.1296124  0.         0.         0.         0.
  0.         0.0903375  2.3998     0.0077375  0.        -0.23865
  0.        -0.23865    2.3998     3.5294125  0.         0.
 -0.23865    0.         0.         1.3315375]",0.9899749946594238
A20Q8XM208DXT1,B00006L9LC,5,"[-0.0121   -0.056575  0.       -0.056575 -5.        0.       -2.61965
 -2.061775 -2.0052    0.       -2.0173   -0.056575 -2.0052   -2.061775
 -2.0052   -2.0173   -2.061775 -2.0173   -2.061775 -2.061775  0.
  0.        0.        0.        0.       -2.061775  0.        0.
  0.       -2.061775  0.       -2.0052    0.       -1.960725 -0.557875
  0.       -2.0052    0.        0.       -2.061775]",0.9899782562255859
A2JPQVFMKT94M2,B00006L9LC,5,"[ 5.         3.6801     0.         1.8272125  5.         0.
  5.         5.        -0.0128375  3.6801     1.8272125 -0.0128375
  3.6801     1.8272125  3.6801     3.6672626  5.         5.
  5.         5.         0.         0.         0.         0.
  1.84005    3.6801     5.         5.         0.         5.
  0.         3.6801     5.         5.         0.         3.6801
  3.539725   3.6801     0.         5.       ]",0.9899726617336273
AXQAIG2XT292S,B00006L9LC,5,"[-0.565875  -0.1839875 -0.5522625 -0.565875  -1.207075   0.
 -1.03315   -0.565875  -1.4799    -0.1839875 -0.565875  -0.5522625
  0.        -0.5522625  0.        -0.1839875  0.        -0.7261875
 -0.565875  -0.368275   0.         0.         0.         0.
  0.        -0.368275  -0.1976    -0.1839875  0.         0.
  0.         0.        -0.1839875 -0.8491625  0.         0.
 -0.1839875  0.         0.        -0.7261875]",0.9899800229072571
A2R8NM5M7Z37SA,B00006L9LC,5,"[0.6650125 0.        0.3832    1.2344875 0.4834125 0.2818125 0.2818125
 0.4834125 0.382025  0.2818125 0.382025  0.        0.6638375 0.7615125
 0.2818125 0.        0.382025  0.563625  0.3832    0.2818125 0.2818125
 0.        0.        0.        0.        0.3783125 0.2818125 0.2818125
 0.        0.3783125 0.        0.        0.2818125 0.        0.
 0.        0.        0.2818125 0.        0.382025 ]",0.9899711668491363
A3RGQCA2GSFLX2,B00006L9LC,5,"[ 0.080975  0.        0.       -0.7438   -0.7438    0.        0.080975
 -1.568575 -0.7438    0.       -0.7438    0.        0.        0.
  0.080975  0.080975  0.        0.080975 -0.7438    0.080975  0.
  0.        0.080975  0.        0.       -0.824775  0.080975 -0.121025
  0.        0.        0.        0.        0.622775  0.080975 -0.404
  0.        0.080975  0.        0.       -0.7438  ]",0.9899713253974914
A12B5Y225ADJWE,B00006L9LC,5,"[0.712125 0.       0.       0.080975 1.5296   0.0683   0.712125 2.415375
 0.89845  0.       2.483675 0.       0.63115  0.       0.080975 0.89845
 0.       1.5296   1.715925 0.149275 0.       0.       0.080975 0.
 0.       0.       0.080975 1.784225 0.       0.63115  0.       0.
 0.817475 3.69035  0.712125 0.       0.080975 0.       0.       0.080975]",0.9898751205205918
AIR2V73D3WZQK,B00006L9LC,5,"[ 1.6857625  0.9511375  0.3673125  1.213075   2.03055    0.
  1.213075   2.14955    1.5521     0.         2.3978624  1.213075
  0.         1.213075   0.         2.03055    0.8457625  2.03055
  2.3978624  0.3673125  0.         0.         0.         0.
  0.         1.213075   0.         1.1847875  0.         0.
  0.         0.         0.         1.1847875 -0.3536875  0.
  0.         0.         0.         1.213075 ]",0.9899782335758209
A165FHUTQU6L2Z,B00006L9LC,5,"[0.2287625 0.206525  0.206525  0.206525  0.2287625 0.        0.2287625
 0.2287625 0.2287625 0.206525  0.2287625 0.2287625 0.0222375 0.2287625
 0.        0.206525  0.0222375 0.2287625 0.2287625 0.        0.
 0.        0.        0.        0.        0.        0.206525  0.2287625
 0.        0.0222375 0.        0.        0.206525  0.        0.
 0.        0.206525  0.        0.        0.2287625]",0.9899727749824524
A17B1H60A6A96P,B00006L9LC,5,"[-0.368275  0.        0.       -0.73655  -0.368275  0.       -0.368275
 -0.368275 -0.368275  0.       -0.368275  0.        0.        0.
  0.        0.        0.        0.       -0.368275  0.        0.
  0.        0.        0.        0.        0.       -0.368275  0.
  0.        0.        0.        0.        0.       -0.368275  0.
  0.        0.        0.        0.        0.      ]",0.9899422883987427
APQ1FY4E25XEP,B00006L9LC,5,"[4.2055373 2.798625  0.        1.84005   4.405275  0.        4.638675
 4.405275  0.        2.798625  1.6896875 0.        4.5411124 1.65945
 2.7158875 2.798625  4.458075  4.638675  4.3753376 5.        0.
 0.        0.        0.        3.2213376 2.979225  5.        4.458075
 0.        5.        0.        2.798625  5.        4.458075  0.1806
 2.798625  2.979225  2.798625  0.        5.       ]",0.9899769878387451
A3DA9MP7OGLPC0,B00006L9LC,5,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
A9QBM4RNQ7L9T,B00006L9LC,5,"[1.5923375 0.1806    0.        0.6809625 1.59005   0.        0.1806
 0.9090875 0.6809625 0.1806    0.6809625 0.        1.542525  0.
 0.1806    0.1806    2.323075  0.8609375 0.911375  0.911375  0.
 0.        0.        0.        0.        0.1806    0.911375  0.228125
 0.        0.911375  0.        0.1806    0.228125  0.2808125 0.
 0.1806    0.1806    0.1806    0.        1.542525 ]",0.9899583131074905
A39IK7T2K2V2KA,B00006L9LC,5,"[ 0.2435375  0.2435375  0.         0.2435375  2.252525   0.
  1.5955     2.37655    1.2279375  0.         2.252525   0.2435375
  2.0089874  2.252525   1.2279375  1.471475   1.471475   2.252525
  2.252525   1.2279375  0.         0.         0.         0.
  0.         1.471475   1.471475   0.         0.         1.2279375
  0.         1.2279375  0.         1.246775  -0.348725   0.
  1.3519624  0.         0.         2.37655  ]",0.9899757421016693
A1V0UCYURG2LP,B00006L9LC,5,"[0.2861125 0.368575  0.1842875 0.368575  0.368575  0.        0.368575
 0.2861125 0.1842875 0.1842875 0.368575  0.368575  0.        0.368575
 0.        0.2861125 0.1842875 0.368575  0.368575  0.        0.
 0.        0.        0.        0.        0.1842875 0.1842875 0.1842875
 0.        0.        0.        0.        0.1842875 0.        0.
 0.        0.1842875 0.        0.        0.368575 ]",0.9899645417928695
A3AF038W92E3I,B00006L9LC,5,"[2.2127626 0.1806    0.6402125 0.67735   3.835675  0.        1.468425
 4.1692    1.965175  0.1806    3.0148625 0.67735   2.212875  1.287825
 1.1633    0.791075  0.791075  2.8143876 1.775225  1.8123626 0.
 0.        0.        0.        0.        1.736525  1.1915874 0.85795
 0.        1.4685374 0.        1.1633    0.4858375 2.4897125 0.
 0.1806    1.1633    0.1806    0.        3.50215  ]",0.9899765574932098
A31XUJMEDBUGKR,B00006L9LC,5,"[ 0.00785   0.22575   0.27735   0.        0.029175  0.       -0.335925
 -0.4146   -0.343775  0.22575  -0.561675  0.       -0.058575 -0.751375
  0.159325 -0.173425 -0.118025  0.071675 -0.525625 -0.016075  0.
  0.        0.        0.        0.       -0.525625  0.22575   0.5031
  0.        0.349025  0.       -0.118025  0.22575  -0.378425  0.1897
  0.22575  -0.118025  0.22575   0.       -0.248275]",0.9899757194519043
A19AWUK1MWTJEN,B00006L9LC,5,"[ 0.673725   0.1165     0.1165     0.673725   0.673725   0.
  0.6059375  0.6059375  0.673725   0.1842875  0.978875   0.673725
  0.4894375  0.673725   0.         0.1842875  0.         0.978875
  0.1165     0.4894375  0.         0.         0.         0.
  0.        -0.0677875  0.1842875  0.673725   0.         0.
  0.         0.         0.1842875  0.4894375  0.         0.
  0.1165     0.         0.         0.673725 ]",0.9899791169166565
AG53V5LXH1KP6,B00006L9LC,5,"[ 0.044475   0.         0.         0.         0.481575   0.
 -1.0668875  0.         1.5039876  0.         1.829125   0.
  0.         2.264725  -1.0668875  0.044475   0.         0.382025
  0.         0.         0.         0.         0.         0.
 -1.2408125  0.         0.         0.         0.         0.
  0.         0.         0.         0.044475  -1.0668875  0.
  0.         0.         0.        -0.7607375]",0.989973839521408
A2Y7WFGH3JMUTR,B00006L9LC,5,"[ 4.2575     0.192975  -0.20695    1.706975   3.6725     0.
  3.400075   4.0533876  3.034575   0.192975   4.0672126  2.30335
  2.4994125  3.8939126 -0.3596    -0.0739875  4.040725   3.67535
  3.9759     0.9586625  0.         0.         0.080975   0.
  1.2817625 -0.41975    1.9750875  4.0353     0.         4.040725
  0.         0.         1.3930125  1.3727125 -0.1796625  0.
 -0.4560625 -0.3102625  0.3673875  4.1012626]",0.9899768972396851
A2YNPGFDPBKZ3L,B00006L9LC,5,"[ 5.         5.         0.         5.         5.         0.
  5.         5.         3.7484     3.6909     5.         1.559325
  5.         1.3194375 -0.3469875  5.         1.3194375  5.
  5.         5.         0.         0.         0.         0.
  0.5064125  1.3194375  0.         5.         0.         5.
  0.        -0.2398875  3.6909     4.1544623 -0.1885875  0.
  5.         3.6909     0.0393625  5.       ]",0.98997673869133
A1RO0OV2CHJLUG,B00006L9LC,5,"[1.6589375 0.        0.        0.        3.2085626 0.        2.3851626
 2.2736    2.3851626 0.        3.2085626 0.8355375 2.7968626 2.7968626
 1.549625  1.549625  1.549625  2.7968626 1.961325  1.961325  0.
 0.8355375 0.        0.        0.        1.549625  0.        0.8355375
 0.        2.7968626 0.        1.549625  0.8355375 1.961325  0.8355375
 0.        1.549625  0.        0.        2.7968626]",0.9899786639213561
A3IOV1NJ4IM2HC,B00006L9LC,1,"[ 0.     -0.0683  0.      0.     -0.0683  0.      0.     -0.0683  0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.     -0.1366  0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.    ]",0.18956929206848144
A125TMC44CJBKK,B00006L9LC,5,"[1.43785   0.        0.        0.620375  2.8757    0.        1.43785
 2.8757    2.255325  0.        2.8757    0.        0.        0.620375
 0.        0.817475  0.        2.9009874 2.255325  1.43785   0.
 0.        0.        0.        0.        0.        0.        1.43785
 0.        1.43785   0.        0.        0.        0.817475  0.
 0.        1.43785   0.620375  0.        1.43785  ]",0.9899766707420349
A1VOA3CU9XRDDS,B00006L9LC,5,"[2.326225  0.        2.326225  0.        0.467875  0.        2.581225
 2.7941    0.255     0.        2.581225  0.        0.3614375 2.6876626
 0.3614375 0.255     0.255     2.4747875 0.255     2.581225  0.
 0.        0.        0.        2.2197876 0.3614375 2.2197876 4.5460124
 0.        2.4747875 0.        0.255     2.4326625 2.581225  2.2197876
 0.        0.3614375 0.1064375 0.        2.6876626]",0.9899730694293976
A1AN9A2FNOYHTX,B00006L9LC,3,"[5.        0.1806    0.806625  5.        5.        0.2202    5.
 5.        0.84585   0.4008    5.        0.244125  1.825325  5.
 5.        0.562125  4.9175124 5.        5.        5.        0.2202
 0.        0.        0.        4.8363123 5.        5.        5.
 0.        5.        0.        0.562125  2.327075  5.        1.9647875
 0.1806    5.        5.        0.        5.       ]",0.6804812324047089
A15ZAILX1XGI0A,B00006L9LC,5,"[4.7947874 1.479775  0.        0.        5.        0.        3.51205
 4.2756124 2.032275  1.479775  2.111825  2.032275  3.51205   2.032275
 1.660375  1.479775  1.479775  4.3766627 2.1637876 1.660375  0.
 2.032275  0.        0.        0.        1.479775  2.3443875 3.51205
 0.        3.51205   0.        1.479775  3.69265   1.479775  2.032275
 1.479775  1.660375  1.479775  0.        3.69265  ]",0.9899773955345154
A1JL5CJJDECOH4,B00006L9LC,5,"[0.368575  0.1842875 0.368575  0.368575  0.368575  0.        0.368575
 0.368575  0.368575  0.1842875 0.368575  0.368575  0.        0.368575
 0.        0.1842875 0.        0.368575  0.368575  0.1842875 0.
 0.        0.        0.        0.        0.1842875 0.1842875 0.1842875
 0.        0.        0.        0.        0.1842875 0.1842875 0.
 0.        0.1842875 0.        0.        0.368575 ]",0.9899792528152466
A2EIK3QR1822Q4,B00006L9LC,4,"[0.8971125 0.        0.85775   0.65285   0.9046625 0.2202    0.85775
 1.5269125 0.65285   0.2202    0.8971125 0.43265   1.0942625 0.65285
 0.4251    0.        0.2202    0.8971125 1.5269125 1.2751    0.2202
 0.        0.        0.        0.41735   1.2751    0.84245   0.4251
 0.        0.84245   0.        0.        0.2202    0.63755   0.0393625
 0.        0.2442625 0.2202    0.0393625 0.65285  ]",0.7897892326116562
A39KHX3058560R,B00006L9LC,5,"[-1.2571875  0.1842875  0.368575   0.368575  -0.6814     0.
  0.368575  -0.6814    -0.6814     0.1842875 -0.3775375  0.368575
 -1.049975   0.368575  -0.904175   0.1842875  0.         0.076975
  0.368575   0.1842875  0.         0.         0.         0.
  0.         0.1842875  0.1842875  0.1842875  0.         0.
  0.         0.         0.1842875 -0.707625  -0.904175   0.
  0.1842875  0.         0.         0.222775 ]",0.9899782562255859
A3KHIT48AYHC0L,B00006L9LC,4,"[0.4212625 0.4212625 0.1842875 0.4212625 0.4212625 0.        0.47395
 0.4212625 0.1842875 0.1842875 0.4212625 0.4212625 0.        0.4212625
 0.        0.4212625 0.236975  0.4212625 0.5266375 0.        0.
 0.        0.        0.        0.        0.236975  0.236975  0.1842875
 0.        0.        0.        0.        0.1842875 0.        0.
 0.        0.1842875 0.        0.        0.4212625]",0.7898131847381592
A1QZ7QH2NEMECC,B00006L9LC,5,"[0.3779 0.     0.2202 0.2202 0.2202 0.2202 0.3779 0.3779 0.3779 0.3779
 0.3779 0.     0.2202 0.2202 0.2202 0.     0.2202 0.2202 0.3779 0.2202
 0.2202 0.     0.     0.     0.     0.3779 0.2202 0.2202 0.     0.2202
 0.     0.     0.2202 0.     0.     0.     0.     0.2202 0.     0.2202]",0.9899746322631836
A2X7VCBZQROXVM,B00006L9LC,5,"[1.671075  0.        0.8355375 0.8355375 1.671075  0.        1.671075
 1.671075  1.671075  0.        1.671075  1.671075  0.8355375 1.671075
 0.        0.        0.        1.671075  0.8355375 0.8355375 0.
 0.8355375 0.        0.        0.        0.8355375 0.        0.8355375
 0.        0.8355375 0.        0.        0.8355375 0.8355375 0.8355375
 0.        0.        0.        0.        1.671075 ]",0.9899804079532624
AIX5L58NMGF9Z,B00006L9LC,5,"[ 2.9463625  0.        -0.0725     0.4510875  1.1419749  0.0386875
  0.1064375  0.73145    0.         0.         0.7991875  0.
  1.2859875  0.725875   0.1064375  0.         0.5884875  0.6975
 -0.033125   0.764575   0.         0.         0.         0.
 -0.1111875 -0.1111875  0.         0.48735    0.        -0.0208875
  0.         0.         0.04685   -0.0256375  0.77555    0.
  0.0346125  0.1064375  0.0393625  1.241875 ]",0.9899328377842903
