Key,Array
B0000530HU,"[4.6335129737854, 4.758524417877197, 4.897089004516602, 5.189305305480957, 4.7958784103393555, 2.1929779052734375, 5.017755031585693, 5.1763224601745605, 4.154008865356445, 4.687279224395752, 2.2083234786987305, 4.92221736907959, 5.246350288391113, 4.961274147033691, 5.246350288391113, 5.102958679199219, 5.043601036071777, 3.1705288887023926, 5.041238307952881, 2.375349998474121, 5.596523761749268, 4.654604911804199, 4.7925262451171875, 2.4516830444335938, 4.815005779266357, 1.832920789718628, 2.5984983444213867, 5.310969352722168, 5.011085510253906, 4.825262546539307, 4.834225654602051, 4.962417125701904, 2.6138439178466797, 0.015345606952905655, 4.8406081199646, 4.382006645202637, 3.354804039001465, 4.3094000816345215, 5.04762077331543, 4.620975971221924]"
B00006L9LC,"[535.8197021484375, 489.7288818359375, 330.3805236816406, 275.5706481933594, 548.450439453125, 74.7612075805664, 573.1900024414062, 240.4518280029297, 146.73426818847656, 476.61688232421875, 165.46475219726562, 423.6966247558594, 391.20050048828125, 512.9038696289062, 497.2174987792969, 515.632080078125, 483.9158630371094, 372.2969970703125, 521.9598388671875, 72.36701202392578, 504.9502258300781, 357.3739318847656, 489.4932861328125, 111.1834487915039, 504.1992492675781, 15.395111083984375, 59.81361770629883, 389.8879699707031, 303.0294494628906, 203.4938201904297, 222.73582458496094, 516.2022094726562, 81.99543762207031, 8.222269058227539, 279.8072204589844, 316.9330749511719, 351.8450927734375, 365.60870361328125, 575.0147094726562, 495.54376220703125]"
B00021DJ32,"[7.301660060882568, 7.155167102813721, 5.357247352600098, 6.909506797790527, 7.5595197677612305, 0.0, 7.301660060882568, 5.877493381500244, 3.118809700012207, 7.301660060882568, -0.6499530076980591, 6.045244216918945, 5.344999313354492, 7.301660060882568, 7.542817115783691, 7.301660060882568, 7.301660060882568, 3.4572696685791016, 7.301660060882568, -0.1275663673877716, 7.723334789276123, 7.377331733703613, 7.7085371017456055, 2.192214012145996, 7.855030059814453, 0.0, -0.11259565502405167, 5.647597312927246, 3.3800315856933594, 3.6672658920288086, 4.735194683074951, 7.301660060882568, 0.0, 0.0, 3.847606658935547, 5.200817108154297, 5.0075602531433105, 3.7398433685302734, 7.301660060882568, 7.301660060882568]"
B0002JHI1I,"[4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 0.3608623743057251, 4.71407413482666, 4.179415702819824, 3.624746084213257, 4.71407413482666, 0.18882223963737488, 2.5899007320404053, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 1.4375215768814087, 4.71407413482666, 0.16056136786937714, 4.71407413482666, 3.676647901535034, 4.71407413482666, 0.0, 4.71407413482666, 0.16056136786937714, 0.35374411940574646, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 0.3669435381889343, 0.0, 4.71407413482666, 4.71407413482666, 0.8490164875984192, 1.8845455646514893, 4.71407413482666, 4.71407413482666]"
B0006O10P4,"[13.419936180114746, 9.964990615844727, 2.4047067165374756, 1.6074483394622803, 10.940323829650879, 0.0, 13.863518714904785, 8.788509368896484, 0.5797989964485168, 9.484389305114746, 0.7362887263298035, 5.140679359436035, 4.842850208282471, 10.351143836975098, 12.107864379882812, 12.389906883239746, 9.581731796264648, 10.245013236999512, 6.78296422958374, 0.34439751505851746, 9.129961013793945, 6.5878190994262695, 8.027403831481934, 2.057908535003662, 12.932300567626953, 0.6272926926612854, 0.3071996569633484, 4.817729473114014, -0.28100597858428955, 0.7333194613456726, 1.1011537313461304, 14.76607894897461, 0.22113469243049622, 0.0, 2.1083853244781494, 3.376983165740967, 7.440196514129639, 7.4613142013549805, 13.286487579345703, 11.669490814208984]"
B0009RF9DW,"[490.16900634765625, 432.038818359375, 351.29656982421875, 200.7606658935547, 489.85064697265625, 36.11164855957031, 544.771728515625, 184.062255859375, 121.90179443359375, 441.8808288574219, 125.36442565917969, 416.72357177734375, 370.3956298828125, 489.49090576171875, 442.6353454589844, 484.2134704589844, 437.3786315917969, 288.18768310546875, 467.8209533691406, 58.134769439697266, 437.2655029296875, 321.36395263671875, 424.9247131347656, 133.0028839111328, 467.11468505859375, 43.241119384765625, 52.12347412109375, 387.9921569824219, 222.19155883789062, 134.05535888671875, 210.50953674316406, 501.1484375, 47.69272994995117, 2.1317052841186523, 272.5772705078125, 327.9597473144531, 370.7291564941406, 308.03314208984375, 538.9390258789062, 467.54827880859375]"
B000FI4S1E,"[499.1337585449219, 443.17132568359375, 345.56719970703125, 207.1764373779297, 506.5368957519531, 38.275142669677734, 549.4661254882812, 166.737548828125, 112.62278747558594, 440.00225830078125, 132.94964599609375, 425.2766418457031, 390.625732421875, 491.48297119140625, 447.37548828125, 495.6299743652344, 444.7750244140625, 292.5713806152344, 476.1263427734375, 67.72855377197266, 456.3251647949219, 322.9413146972656, 418.1412658691406, 129.3649444580078, 471.4091796875, 37.66018295288086, 50.90952682495117, 396.8504943847656, 216.88783264160156, 143.96763610839844, 207.73239135742188, 498.6343688964844, 42.057586669921875, 1.486951231956482, 267.8325500488281, 324.6874084472656, 385.3581848144531, 316.228759765625, 547.5963745117188, 460.8388366699219]"
B000FOI48G,"[43.85157775878906, 40.88972854614258, 42.33843994140625, 31.384523391723633, 41.3404655456543, 6.865166187286377, 40.41044616699219, 13.16209888458252, 18.557209014892578, 23.740812301635742, 1.5522936582565308, 23.08735466003418, 39.565673828125, 40.71746826171875, 39.171268463134766, 41.23536682128906, 37.24681854248047, 36.94710159301758, 41.45698928833008, 1.0778863430023193, 41.77326965332031, 30.236310958862305, 42.93378448486328, 4.7107744216918945, 38.80397033691406, 0.3958405554294586, 4.353897571563721, 42.49024200439453, 39.26439666748047, 26.359161376953125, 32.49898910522461, 27.58206558227539, 2.699071168899536, 0.060965344309806824, 41.738250732421875, 29.306406021118164, 35.0361442565918, 13.20010757446289, 42.498268127441406, 42.2606315612793]"
B000FTYALG,"[0.06491679698228836, 0.06491679698228836, -0.035632696002721786, 0.06491679698228836, 0.06491679698228836, 0.03422558307647705, -0.02028709091246128, 0.049571190029382706, 0.015345606952905655, 0.03069121390581131, 0.049571190029382706, 0.049571190029382706, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.03422558307647705, 0.06491679698228836, 0.015345606952905655, 0.06491679698228836, 0.0, -0.02028709091246128, 0.03422558307647705, 0.03422558307647705, 0.049571190029382706, -0.028663452714681625, 0.03422558307647705, 0.049571190029382706, -0.02028709091246128, 0.049571190029382706, 0.015345606952905655, 0.049571190029382706, -0.06288903206586838, 0.03069121390581131, 0.015345606952905655, 0.06491679698228836, -0.02028709091246128]"
B000GLRREU,"[35.18679428100586, 34.20109939575195, 35.993892669677734, 26.493877410888672, 35.93340301513672, 4.703914642333984, 34.39964294433594, 11.996339797973633, 15.846935272216797, 19.034189224243164, 1.6811869144439697, 17.9702091217041, 34.03019332885742, 34.85737991333008, 33.42969512939453, 35.908477783203125, 32.38890075683594, 31.11751937866211, 35.403926849365234, 1.2620782852172852, 36.064945220947266, 24.80219841003418, 36.89845657348633, 3.9609477519989014, 33.72142028808594, 0.5247339010238647, 4.3515729904174805, 36.17382049560547, 33.090641021728516, 23.621253967285156, 25.863061904907227, 21.412105560302734, 2.625120162963867, 0.060965344309806824, 35.94974899291992, 22.202402114868164, 29.67375373840332, 11.33698558807373, 35.68035888671875, 37.199851989746094]"
