Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10JB7YPWZGRF4,"[0.6397714018821716, 1.6610047817230225, -0.701347827911377, -0.701347827911377, 1.548989176750183, 0.0, 2.012866735458374, 0.0, 0.0, 3.146115779876709, 0.0, 0.3198857009410858, -0.701347827911377, 2.124882459640503, 2.124882459640503, -0.9253791570663452, 0.6397714018821716, -0.701347827911377, 0.7837632298469543, 0.0, 1.6610047817230225, -1.0212334394454956, -0.701347827911377, 0.0, 0.5277556777000427, 0.0, 0.0, 1.6610047817230225, -0.701347827911377, 0.0, -0.701347827911377, 2.9220845699310303, 0.3198857009410858, 0.0, -0.701347827911377, 0.6397714018821716, -0.701347827911377, 0.3198857009410858, 2.124882459640503, 0.7837632298469543]"
A10M2MLE2R0L6K,"[3.764075756072998, 2.426199436187744, 1.6595587730407715, 0.8647207021713257, 2.0835037231445312, 0.0, 2.6909120082855225, 0.5518532991409302, 1.6587141752243042, 1.9153751134872437, 0.8647207021713257, 1.9549480676651, 2.211411952972412, 2.3795409202575684, 2.0835037231445312, 2.0835037231445312, 1.9153751134872437, 0.7199820280075073, 2.396371364593506, 0.0, 2.0835037231445312, 1.9153751134872437, 4.328358173370361, 1.3635218143463135, 4.481853008270264, 0.0, 0.6089043617248535, 3.921341896057129, 0.7199820280075073, 0.6089043617248535, 1.0977140665054321, 2.2282426357269287, 0.0, 0.25581637024879456, 1.1549218893051147, 2.396371364593506, 1.9153751134872437, 1.6595587730407715, 2.629521369934082, 2.0835037231445312]"
A10P0NAKKRYKTZ,"[2.9686365127563477, 1.4545260667800903, 1.448833703994751, 1.4545260667800903, 2.9686365127563477, 0.0, 8.685205459594727, 0.9276717901229858, 1.8496512174606323, 2.3765053749084473, 0.9276717901229858, 6.50001335144043, 1.4545260667800903, 2.9686365127563477, 6.505705833435059, 2.046656847000122, 5.913574695587158, 6.505705833435059, 2.9686365127563477, 0.0, 2.046656847000122, 0.9276717901229858, 2.9686365127563477, 0.0, 6.505705833435059, 0.0, 0.0, 0.5268542170524597, 2.9686365127563477, 0.0, 0.5268542170524597, 3.634025812149048, 0.5268542170524597, 0.9276717901229858, 1.448833703994751, 4.226156234741211, 1.4545260667800903, 0.5268542170524597, 8.685205459594727, 2.9686365127563477]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.055563449859619, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5277817249298096, 0.0]"
A1118RD3AJD5KH,"[1.0946390628814697, 1.0946390628814697, 0.0, 0.5473195314407349, 1.0946390628814697, 0.0, 1.0946390628814697, 0.0, 1.0946390628814697, 1.0946390628814697, 0.5473195314407349, 0.5473195314407349, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 0.5473195314407349, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697, 0.5473195314407349, 0.0, 0.5473195314407349, 0.0, 0.0, 0.5473195314407349, 0.0, 0.5473195314407349, 0.0, 1.0946390628814697, 0.0, 0.0, 1.0946390628814697, 0.0, 0.5473195314407349, 1.0946390628814697, 1.0946390628814697, 1.0946390628814697]"
A115LE3GBAO8I6,"[3.040534019470215, 3.3354856967926025, 14.647539138793945, -0.9487089514732361, 3.040534019470215, 0.0, 14.50764274597168, 10.40195369720459, 0.0, 13.840828895568848, 0.1483730673789978, 3.3354856967926025, 4.290567398071289, 13.442487716674805, 13.737439155578613, 14.39756965637207, 3.3354856967926025, -0.8003358840942383, 4.290567398071289, 0.0, 4.290567398071289, 4.135821342468262, 4.142194747924805, 4.135821342468262, 13.442487716674805, 0.0, 0.0, 3.847242593765259, -0.03681483119726181, 10.216765403747559, -0.2885787785053253, 13.545877456665039, 0.0, 0.0, 10.365138053894043, 3.2905032634735107, 14.686147689819336, 3.4388766288757324, 13.552560806274414, 13.442487716674805]"
A11AZPF8R6A1F8,"[14.596071243286133, 14.596071243286133, 5.510303020477295, 6.057624816894531, 14.596071243286133, 2.4814906120300293, 14.596071243286133, 0.547321617603302, 6.604277610778809, 12.114580154418945, 6.604277610778809, 6.057624816894531, 14.596071243286133, 14.596071243286133, 12.114580154418945, 14.596071243286133, 12.114580154418945, 6.057624816894531, 14.596071243286133, 6.604277610778809, 14.596071243286133, 9.633090019226074, 8.539114952087402, 2.4814906120300293, 8.539114952087402, 0.0, 0.547321617603302, 6.057624816894531, 3.0288124084472656, 6.057624816894531, 5.510303020477295, 14.596071243286133, 0.0, 0.0, 9.633090019226074, 3.0288124084472656, 3.5761337280273438, 12.114580154418945, 14.596071243286133, 14.596071243286133]"
A11L1TI883AOSV,"[-1.6177650690078735, 0.040120307356119156, -0.0766405463218689, 0.5365581512451172, -0.9048409461975098, -0.0766405463218689, -0.9896466732025146, -1.4518280029296875, 1.0990217924118042, 0.7660343647003174, 0.5518490672111511, 0.05678452178835869, -0.2037191092967987, 0.6025840044021606, 0.014177572913467884, 0.42614373564720154, 0.014177572913467884, 0.17762792110443115, -3.4519052505493164, 1.0990217924118042, 0.7660343647003174, 1.0990217924118042, -3.2530109882354736, 0.0, -3.7343807220458984, 0.0, 0.4858231544494629, -0.9578770399093628, 0.7152994275093079, 0.776648998260498, -0.0766405463218689, -2.0380449295043945, 0.0, 0.0, -1.0553014278411865, -0.24009090662002563, 0.4391336739063263, 1.3284980058670044, -1.735194206237793, -0.8918511271476746]"
A11QGZ39A7ZF0X,"[12.017701148986816, 9.173330307006836, 7.608542442321777, 5.742439270019531, 11.507451057434082, 1.1293447017669678, 12.295565605163574, 0.5220671892166138, 3.1591506004333496, 6.677099227905273, 0.7400888204574585, 8.731670379638672, 8.0084810256958, 9.567106246948242, 10.105713844299316, 7.3783464431762695, 8.42586898803711, 4.264939785003662, 12.390209197998047, 0.3648776710033417, 9.781270027160645, 9.623355865478516, 12.396273612976074, 5.790154457092285, 10.370207786560059, 0.0, 0.0, 11.274197578430176, 2.6637227535247803, 2.9737963676452637, 3.6669161319732666, 9.701372146606445, 0.0, 0.0, 1.7562119960784912, 10.087986946105957, 7.784815311431885, 8.893780708312988, 11.263079643249512, 11.072381019592285]"
A1210QJT54O8T0,"[31.685379028320312, 31.574813842773438, 29.278507232666016, 24.941646575927734, 31.574813842773438, 4.856130123138428, 31.685379028320312, 14.661458969116211, 9.82669734954834, 18.806116104125977, 7.5435380935668945, 29.888185501098633, 31.574813842773438, 31.574813842773438, 30.74764633178711, 31.574813842773438, 30.63707733154297, 29.699344635009766, 30.63707733154297, 5.0004682540893555, 30.63707733154297, 17.175710678100586, 31.574813842773438, 14.529890060424805, 31.574813842773438, 0.0, 5.634648323059082, 30.63707733154297, 25.954952239990234, 1.3496912717819214, 13.743274688720703, 25.798505783081055, 0.9058055281639099, 0.10217814892530441, 25.131925582885742, 18.113283157348633, 28.608306884765625, 17.43796730041504, 31.574813842773438, 31.574813842773438]"
A121C9UWQFW5W6,"[6.571192264556885, 6.571192264556885, 6.571192264556885, 6.571192264556885, 6.571192264556885, 2.022202253341675, 6.571192264556885, 8.59339427947998, 6.571192264556885, 6.571192264556885, 0.0, 2.022202253341675, 6.571192264556885, 8.59339427947998, 8.59339427947998, 6.571192264556885, 8.59339427947998, 0.0, 6.571192264556885, 0.0, 6.571192264556885, 10.615596771240234, 6.571192264556885, 0.0, 6.571192264556885, 0.0, 0.0, 8.59339427947998, 6.571192264556885, 8.59339427947998, 6.571192264556885, 6.571192264556885, 0.0, 0.0, 6.571192264556885, 8.59339427947998, 2.022202253341675, 0.0, 8.59339427947998, 6.571192264556885]"
A125PSVY71Q7KZ,"[3.1119003295898438, 3.3646419048309326, 2.6348788738250732, 0.2242797613143921, 3.2801966667175293, -0.45380643010139465, 2.6580936908721924, -0.25274163484573364, 0.7297630906105042, 3.785679817199707, -0.25274163484573364, 2.826390266418457, 3.6173837184906006, 3.2801966667175293, 3.5329384803771973, 2.6580936908721924, 3.5329384803771973, 0.4770214259624481, 3.5329384803771973, 0.7297630906105042, 5.826323986053467, 6.841597080230713, 2.826390266418457, 3.3086585998535156, 3.5329384803771973, 0.0, -0.25274163484573364, 3.5329384803771973, -0.7582250237464905, 0.4770214259624481, -0.25274163484573364, 2.826390266418457, 0.0, 0.0, -0.028461899608373642, 2.55043363571167, 3.785679817199707, 3.2801966667175293, 3.2801966667175293, 3.3646419048309326]"
