Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1118RD3AJD5KH,"[0.36487966775894165, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.36487966775894165, 0.0, 0.36487966775894165, 0.36487966775894165, 0.36487966775894165, 0.36487966775894165, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.36487966775894165, 0.0, 0.18243983387947083, 0.0, 0.18243983387947083, 0.36487966775894165, 0.18243983387947083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18243983387947083, 0.36487966775894165, 0.0, 0.0, 0.0, 0.0, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.0, 0.18243983387947083, 0.0, 0.18243983387947083, 0.36487966775894165]"
A11L1TI883AOSV,"[-0.3517671525478363, 0.20439954102039337, 0.36634060740470886, 0.36634060740470886, -0.5980684757232666, 0.1619410514831543, -0.5046771168708801, -0.18831677734851837, 0.20086133480072021, 0.36634060740470886, -0.48477157950401306, 0.2264081984758377, -0.2597118616104126, 0.4973161220550537, -0.0255468487739563, 0.016911644488573074, 0.2984713315963745, -0.29728370904922485, 0.4973161220550537, -0.17921146750450134, 0.1619410514831543, 0.0, 0.0, 0.0, 0.0, 0.21642450988292694, 0.12436924874782562, -0.10979578644037247, 0.0, -0.08481801301240921, 0.0, 0.05448345094919205, 0.12436924874782562, -0.42945924401283264, -0.30078476667404175, 0.0, 0.258882999420166, 0.1619410514831543, 0.0, 0.26089954376220703]"
A11QGZ39A7ZF0X,"[3.9758973121643066, 0.0, -0.24060896039009094, 4.764172077178955, 4.622778415679932, 0.0, -0.5106149911880493, -0.13730359077453613, 3.21962308883667, 0.0, 3.790210723876953, 0.8438889980316162, 4.35162878036499, 4.949858665466309, 2.3757340908050537, 0.0, 0.0, 2.892542839050293, 3.4031577110290527, -0.24060896039009094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.678709030151367, -0.2711493968963623, 0.0, -0.1856866031885147, 0.0, 0.0, 1.168817400932312, 0.5727396011352539, -0.3270803689956665, 0.0, -0.3270803689956665, 0.0, -1.8035342693328857, 0.5727396011352539]"
A125TMC44CJBKK,"[2.8468759059906006, 0.0, 0.0, 1.2283134460449219, 5.693751811981201, 0.0, 2.8468759059906006, 5.693751811981201, 4.465438365936279, 0.0, 5.693751811981201, 0.0, 0.0, 1.2283134460449219, 0.0, 1.6185623407363892, 0.0, 5.743819713592529, 4.465438365936279, 2.8468759059906006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8468759059906006, 0.0, 2.8468759059906006, 0.0, 0.0, 0.0, 1.6185623407363892, 0.0, 0.0, 2.8468759059906006, 1.2283134460449219, 0.0, 2.8468759059906006]"
A12B5Y225ADJWE,"[0.7049148082733154, 0.0, 0.0, 0.0801551416516304, 1.5141130685806274, 0.06760847568511963, 0.7049148082733154, 2.3909196853637695, 0.889353334903717, 0.0, 2.4585280418395996, 0.0, 0.6247596740722656, 0.0, 0.0801551416516304, 0.889353334903717, 0.0, 1.5141130685806274, 1.6985514163970947, 0.14776360988616943, 0.0, 0.0, 0.0801551416516304, 0.0, 0.0, 0.0, 0.0801551416516304, 1.766160011291504, 0.0, 0.6247596740722656, 0.0, 0.0, 0.8091982007026672, 3.6529858112335205, 0.7049148082733154, 0.0, 0.0801551416516304, 0.0, 0.0, 0.0801551416516304]"
A12X146LZM6KM0,"[0.3648810088634491, 0.18244050443172455, 0.18244050443172455, 0.3648810088634491, 0.3648810088634491, 0.0, 0.3648810088634491, 0.3648810088634491, 0.3648810088634491, 0.18244050443172455, 0.3648810088634491, 0.3648810088634491, 0.0, 0.3648810088634491, 0.0, 0.3648810088634491, 0.0, 0.18244050443172455, 0.3648810088634491, 0.18244050443172455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18244050443172455, 0.18244050443172455, 0.0, 0.0, 0.0, 0.0, 0.18244050443172455, 0.0, 0.0, 0.0, 0.3648810088634491, 0.0, 0.0, 0.18244050443172455]"
A14SJT4M0BP298,"[0.45427554845809937, 0.18244034051895142, 0.45427554845809937, 0.45427554845809937, 0.45427554845809937, 0.0, 0.45427554845809937, 0.45427554845809937, 0.45427554845809937, 0.18244034051895142, 0.5436704754829407, 0.45427554845809937, 0.0, 0.45427554845809937, 0.0, 0.18244034051895142, 0.0, 0.45427554845809937, 0.45427554845809937, 0.27183523774147034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27183523774147034, 0.18244034051895142, 0.18244034051895142, 0.0, 0.0, 0.0, 0.0, 0.18244034051895142, 0.27183523774147034, 0.0, 0.0, 0.18244034051895142, 0.0, 0.0, 0.45427554845809937]"
A14Y0FPHPBKBAF,"[4.9498515129089355, 0.8006879091262817, 0.44311070442199707, 2.10793137550354, 4.9498515129089355, 0.0, 4.9498515129089355, 4.9498515129089355, 1.9886027574539185, 0.8006879091262817, 4.9498515129089355, 1.9886027574539185, 1.9250837564468384, 3.485128402709961, 0.35757726430892944, 2.246589183807373, 4.218795299530029, 4.9498515129089355, 2.9371304512023926, 2.6659653186798096, 0.0, 1.1542805433273315, 0.0, 0.0, 1.6648205518722534, 0.35757726430892944, 2.297213554382324, 4.9498515129089355, 0.0, 3.6703147888183594, 0.0, 0.35757726430892944, 4.9498515129089355, 3.4903135299682617, 1.008000135421753, 0.35757726430892944, 0.8810983300209045, 0.920734167098999, 0.0, 4.9498515129089355]"
A14YENXHLKG9WL,"[2.3757083415985107, 0.0, 0.0, 4.209734916687012, 4.4805755615234375, 0.0, 2.3757083415985107, 2.104867458343506, -0.27084094285964966, 0.0, 4.209734916687012, 2.3757083415985107, 0.0, 2.3757083415985107, 0.0, 2.3757083415985107, 0.0, 2.3757083415985107, 2.104867458343506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3757083415985107, 2.104867458343506, 0.0, -0.27084094285964966, 0.0, 0.0, 2.104867458343506, 2.3757083415985107, -0.27084094285964966, 0.0, 0.0, 0.0, -0.27084094285964966, 2.104867458343506]"
A154MPHVRSZVQN,"[2.9321889877319336, 1.4976862668991089, 0.0, 1.4976862668991089, 2.877246618270874, 0.0, 2.2662975788116455, 2.9368417263031006, 1.3795603513717651, 0.0, 2.8140628337860107, 2.3248283863067627, 2.5456743240356445, 2.1435189247131348, -0.1181260421872139, 1.3795603513717651, 1.3795603513717651, 2.206702470779419, 1.3163765668869019, -0.1181260421872139, 0.0, 0.8271421790122986, 0.0, 0.0, 0.0, 1.3163765668869019, 0.0, 2.7269842624664307, 0.0, 0.7090161442756653, 0.0, -0.1181260421872139, 0.8271421790122986, 0.6120131611824036, 0.8271421790122986, 0.0, 0.0046527753584086895, 1.8998420238494873, 0.0, 4.474064350128174]"
A15T9G38F589KM,"[1.6208916902542114, 0.8657998442649841, 0.3698785901069641, 0.16175465285778046, 1.418994426727295, 0.0, 2.086153507232666, 1.7947839498519897, 0.0, 0.6392032504081726, 0.9977337121963501, 0.0, 1.5560497045516968, 0.7704266309738159, 2.670313596725464, 0.8657998442649841, 0.6392032504081726, 1.1802010536193848, 1.8025401830673218, 1.5560497045516968, 0.0, 0.0, 0.0, 0.0, 0.6156584024429321, 1.0090817213058472, 1.4165077209472656, 1.6208916902542114, 0.0, 1.3942950963974, 0.0, 0.6392032504081726, 1.251013159751892, 1.2517236471176147, -0.378986656665802, 0.6392032504081726, 1.2517236471176147, 1.7292314767837524, 0.0, 2.237833023071289]"
