Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5849394142282115e-26, 0.0, 0.0, 1.0339757656912846e-25, 0.0, 0.0, -3.2311742677852644e-27, 2.5849394142282115e-26, 0.0, -6.462348535570529e-27, 0.0, 1.0339757656912846e-25, 0.0, 1.6155871338926322e-27, -1.2924697071141057e-26, 3.1554436208840472e-30, 0.0, -5.169878828456423e-26, 0.0, 6.462348535570529e-27, -2.0679515313825692e-25, 0.0, 0.0, -6.462348535570529e-27, 0.0, -2.0194839173657902e-28, 0.0, 0.0, 0.0, 0.0, 0.0, -5.169878828456423e-26, 0.0, 0.0, -2.0679515313825692e-25, 3.2311742677852644e-27, -4.0389678347315804e-28]"
A10JB7YPWZGRF4,"[0.0, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, -6.617444900424222e-24, 0.0, 0.0, -5.293955920339377e-23, 0.0, 4.0389678347315804e-28, 0.0, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6543612251060553e-24, 1.6543612251060553e-24, 0.0, 0.0, 4.1359030627651384e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 8.271806125530277e-25, 8.271806125530277e-25, -6.617444900424222e-24, 0.0, 0.0, -3.308722450212111e-24, 1.6543612251060553e-24, 1.0339757656912846e-25, 0.0, 0.0, 0.0, 0.0, -2.5849394142282115e-26, 0.0, 0.0, 0.0, 0.0, 1.2924697071141057e-26, 0.0, 1.2924697071141057e-26, -5.169878828456423e-26, 2.5849394142282115e-26, -2.0194839173657902e-28, 0.0, 0.0, 0.0, -8.077935669463161e-28, 4.0389678347315804e-28, 0.0, 2.524354896707238e-29, 0.0, -6.462348535570529e-27, -2.524354896707238e-29, 0.0, 2.5849394142282115e-26, -1.0339757656912846e-25, 0.0, 4.0389678347315804e-28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6155871338926322e-27, 0.0, 6.462348535570529e-27, -2.0679515313825692e-25, 0.0, 0.0]"
A10M2MLE2R0L6K,"[0.0, 0.0, 0.0, 3.308722450212111e-24, 0.0, 0.0, -2.0679515313825692e-25, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 1.0587911840678754e-22, 2.6469779601696886e-23, 0.0, -1.3234889800848443e-23, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, 4.1359030627651384e-25, 0.0, -1.0587911840678754e-22, -2.6469779601696886e-23, 0.0, 0.0, 0.0, -6.462348535570529e-27, 0.0, 0.0, 2.5849394142282115e-26, -5.169878828456423e-26, -5.169878828456423e-26, 0.0, -2.0679515313825692e-25, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0679515313825692e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0097419586828951e-28, 1.0339757656912846e-25, -2.0194839173657902e-28, -1.2924697071141057e-26, -1.2924697071141057e-26, -1.6155871338926322e-27, -1.6155871338926322e-27, 3.2311742677852644e-27, -1.6155871338926322e-27, 0.0, 3.2311742677852644e-27, 0.0, 2.5849394142282115e-26, 1.5777218104420236e-30, 3.2311742677852644e-27, 1.0339757656912846e-25, 1.2924697071141057e-26, -6.462348535570529e-27, -3.2311742677852644e-27, 0.0, 6.462348535570529e-27]"
A10P0NAKKRYKTZ,"[0.0, 0.0, 0.0, 6.617444900424222e-24, 0.0, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 6.617444900424222e-24, 3.308722450212111e-24, 4.235164736271502e-22, 0.0, 0.0, -6.617444900424222e-24, 2.0679515313825692e-25, 0.0, -6.617444900424222e-24, 0.0, 4.235164736271502e-22, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, -8.271806125530277e-25, -1.0587911840678754e-22, 0.0, -6.462348535570529e-27, 0.0, 0.0, 0.0, 6.617444900424222e-24, 0.0, 5.293955920339377e-23, 0.0, -2.5849394142282115e-26, 1.0339757656912846e-25, 0.0, 0.0, 0.0, 0.0, 0.0, -3.2311742677852644e-27, 2.5849394142282115e-26, 0.0, 0.0, 0.0, -1.2924697071141057e-26, 0.0, 2.0194839173657902e-28, 0.0, 0.0, 0.0, 0.0, 6.462348535570529e-27, 0.0, 0.0, 8.077935669463161e-28, -1.0339757656912846e-25, 0.0, 4.1359030627651384e-25, 0.0, 1.2924697071141057e-26, 1.0339757656912846e-25, -2.5849394142282115e-26, 3.2311742677852644e-27, 3.2311742677852644e-27, 2.0679515313825692e-25, 0.0, 0.0, 2.5849394142282115e-26, 0.0, 0.0, 0.0]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.169878828456423e-26, -5.169878828456423e-26, 0.0, -1.2924697071141057e-26, 0.0, 0.0, 1.6155871338926322e-27, -2.0679515313825692e-25, -2.5849394142282115e-26, 0.0, 2.5849394142282115e-26, 2.5849394142282115e-26, 0.0, 1.0339757656912846e-25, 1.0097419586828951e-28, 0.0, 2.0679515313825692e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2924697071141057e-26, -1.2924697071141057e-26, 1.6155871338926322e-27, 2.5849394142282115e-26, 0.0, 1.0339757656912846e-25, 3.2311742677852644e-27, 4.1359030627651384e-25, -1.6155871338926322e-27, 0.0, -4.1359030627651384e-25, 5.169878828456423e-26, -1.0339757656912846e-25, -2.524354896707238e-29, 0.0, 0.0]"
A1118RD3AJD5KH,"[-8.271806125530277e-25, -3.308722450212111e-24, 0.0, -3.308722450212111e-24, -3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5849394142282115e-26, 0.0, -1.3234889800848443e-23, 0.0, -1.3234889800848443e-23, 1.6543612251060553e-24, -1.6543612251060553e-24, -2.0679515313825692e-25, -3.308722450212111e-24, 1.3234889800848443e-23, 0.0, 0.0, 4.1359030627651384e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6543612251060553e-24, 0.0, 1.6543612251060553e-24, 8.271806125530277e-25, 0.0, 5.169878828456423e-26, 0.0, 5.169878828456423e-26, 0.0, 0.0, -2.5849394142282115e-26, 3.2311742677852644e-27, -8.077935669463161e-28, 0.0, 1.2924697071141057e-26, -5.048709793414476e-29, -2.0679515313825692e-25, 1.0339757656912846e-25, 0.0, -3.2311742677852644e-27, -1.0339757656912846e-25, 8.077935669463161e-28, -2.0679515313825692e-25, 0.0, 0.0, 1.6155871338926322e-27, 0.0, 0.0, -8.077935669463161e-28, -2.5849394142282115e-26, -5.169878828456423e-26, 0.0, 0.0, 1.0097419586828951e-28, 5.169878828456423e-26, -1.2924697071141057e-26, 0.0, 0.0, 0.0, 0.0, 0.0, -6.462348535570529e-27, 0.0, -1.2924697071141057e-26, 0.0, 5.048709793414476e-29]"
A115LE3GBAO8I6,"[-1.3234889800848443e-23, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 2.117582368135751e-22, 6.617444900424222e-24, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 3.308722450212111e-24, 1.3234889800848443e-23, 0.0, 5.293955920339377e-23, 6.617444900424222e-24, -2.117582368135751e-22, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1359030627651384e-25, 0.0, 0.0, 0.0, -8.470329472543003e-22, 6.617444900424222e-24, 1.6940658945086007e-21, 0.0, 0.0, -1.3234889800848443e-23, 4.1359030627651384e-25, -1.0339757656912846e-25, 0.0, 0.0, 0.0, -1.0339757656912846e-25, 0.0, 0.0, 5.169878828456423e-26, 0.0, -1.0339757656912846e-25, 0.0, 0.0, -4.1359030627651384e-25, 3.2311742677852644e-27, -1.0339757656912846e-25, 1.0339757656912846e-25, 4.1359030627651384e-25, 1.2924697071141057e-26, 0.0, -5.169878828456423e-26, -8.077935669463161e-28, 4.0389678347315804e-28, 0.0, -6.462348535570529e-27, 0.0, 2.0679515313825692e-25, -6.310887241768095e-30, 1.0339757656912846e-25, 0.0, -4.1359030627651384e-25, -3.2311742677852644e-27, 0.0, 2.0679515313825692e-25, -3.2311742677852644e-27, 0.0, 5.169878828456423e-26, 1.0339757656912846e-25, -1.0339757656912846e-25, 0.0]"
A11AZPF8R6A1F8,"[0.0, -4.235164736271502e-22, 0.0, -5.293955920339377e-23, 0.0, 0.0, -3.3881317890172014e-21, 0.0, -2.6469779601696886e-23, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, -2.117582368135751e-22, -1.6940658945086007e-21, 0.0, -1.2924697071141057e-26, 0.0, 0.0, 1.6940658945086007e-21, -1.6940658945086007e-21, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3234889800848443e-23, 0.0, 2.117582368135751e-22, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 1.6543612251060553e-24, 1.6543612251060553e-24, 3.3881317890172014e-21, 2.117582368135751e-22, -3.3881317890172014e-21, 0.0, 0.0, 0.0, -3.2311742677852644e-27, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6155871338926322e-27, -6.462348535570529e-27, -2.0679515313825692e-25, -2.5849394142282115e-26, -6.462348535570529e-27, -8.271806125530277e-25, 0.0, -2.5849394142282115e-26, 0.0, 0.0, 1.2924697071141057e-26, 0.0, 0.0, 0.0, 0.0, -4.0389678347315804e-28, 0.0, 0.0, 0.0, 5.169878828456423e-26, 3.2311742677852644e-27, 0.0, -2.0679515313825692e-25, 0.0, 1.2924697071141057e-26, 0.0, 4.8467614016778965e-27, 0.0, -4.0389678347315804e-28, 2.5849394142282115e-26, 0.0]"
A11L1TI883AOSV,"[-1.6543612251060553e-24, 0.0, 3.2311742677852644e-27, 0.0, 0.0, -1.6155871338926322e-27, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 2.5849394142282115e-26, 0.0, 0.0, 1.6155871338926322e-27, 6.462348535570529e-27, 0.0, 0.0, 0.0, 0.0, 5.169878828456423e-26, 1.2924697071141057e-26, 0.0, 0.0, -2.5849394142282115e-26, 0.0, -1.0339757656912846e-25, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, -5.169878828456423e-26, 0.0, 3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, -2.5849394142282115e-26, -2.0679515313825692e-25, 2.0679515313825692e-25, -5.169878828456423e-26, 0.0, 0.0, 2.0679515313825692e-25, 0.0, 0.0, -1.0339757656912846e-25, 0.0, 0.0, 0.0, -2.5849394142282115e-26, 0.0, 2.0679515313825692e-25, 0.0, -6.462348535570529e-27, 8.271806125530277e-25, 0.0, 0.0, 0.0, 0.0, -1.2924697071141057e-26, -2.5849394142282115e-26, -1.262177448353619e-29, 0.0, 8.271806125530277e-25, 2.0679515313825692e-25, 0.0, 0.0, 0.0, -1.0339757656912846e-25, 8.077935669463161e-28, 0.0, 0.0, 0.0, 1.0339757656912846e-25]"
A11QGZ39A7ZF0X,"[8.470329472543003e-22, 3.3881317890172014e-21, 0.0, -8.470329472543003e-22, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 0.0, -1.2924697071141057e-26, 0.0, 1.0587911840678754e-22, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 6.617444900424222e-24, 8.470329472543003e-22, -2.0679515313825692e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, -1.6543612251060553e-24, 0.0, -2.6469779601696886e-23, 0.0, 0.0, -4.1359030627651384e-25, 2.6469779601696886e-23, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 2.5849394142282115e-26, 0.0, 0.0, 8.077935669463161e-28, 0.0, -3.2311742677852644e-27, 0.0, -1.0339757656912846e-25, -2.5849394142282115e-26, -1.2924697071141057e-26, 0.0, 0.0, 3.2311742677852644e-27, 0.0, -1.0339757656912846e-25, 0.0, -1.262177448353619e-29, 5.048709793414476e-29, 5.169878828456423e-26, 0.0, -2.0194839173657902e-28, 0.0, 0.0, -2.0679515313825692e-25, -3.2311742677852644e-27, -3.2311742677852644e-27, -2.0679515313825692e-25, 3.2311742677852644e-27, 0.0, 0.0, -4.1359030627651384e-25, -5.169878828456423e-26, 0.0, 4.0389678347315804e-28, -6.462348535570529e-27, 0.0, 1.6155871338926322e-27, 8.077935669463161e-28, 0.0]"
