Key,Array
B0000530HU,"[4.6335129737854, 4.758524417877197, 4.897089004516602, 5.189305305480957, 4.7958784103393555, 2.1929779052734375, 5.017755031585693, 5.1763224601745605, 4.154008865356445, 4.687279224395752, 2.2083234786987305, 4.92221736907959, 5.246350288391113, 4.961274147033691, 5.246350288391113, 5.102958679199219, 5.043601036071777, 3.1705288887023926, 5.041238307952881, 2.375349998474121, 5.596523761749268, 4.654604911804199, 4.7925262451171875, 2.4516830444335938, 4.815005779266357, 1.832920789718628, 2.5984983444213867, 5.310969352722168, 5.011085510253906, 4.825262546539307, 4.834225654602051, 4.962417125701904, 2.6138439178466797, 0.015345606952905655, 4.8406081199646, 4.382006645202637, 3.354804039001465, 4.3094000816345215, 5.04762077331543, 4.620975971221924, 0.14263906482136432, 0.09579119103941754, 0.06021710644226583, 0.10217150665072448, 0.015175132967445451, 0.12305180373715462, 0.05264315099929257, 0.07460670581805151, 0.1193021973745066, 0.0936538016500792, 0.12843494422563262, 0.10044275508958475, 0.028189779803491077, 0.010527389357349162, 0.11905970638878229, 0.10637083383965049, 0.09448390959557412, 0.14776792779291187, 0.10507787361636829, 0.10706387382970238, 0.08978620327525902, 0.07577468714488932, 0.06034269863680078, 0.11646493262323374, 0.022909737124783936, 0.0834705058952241, 0.02922625472576125, 0.02497640603298062, 0.08159763014609345, 0.022211070700247366, 0.03173343182455137, 0.10423270817060393, 0.005074827694833757, 0.008758915515644982, 0.007079920717615571, 0.010742155192991744, 0.11653396312571673, 0.015545334441658513, 0.00890933860488435, 0.02679878358339874]"
B00006L9LC,"[535.8197021484375, 489.7288818359375, 330.3805236816406, 275.5706481933594, 548.450439453125, 74.7612075805664, 573.1900024414062, 240.4518280029297, 146.73426818847656, 476.61688232421875, 165.46475219726562, 423.6966247558594, 391.20050048828125, 512.9038696289062, 497.2174987792969, 515.632080078125, 483.9158630371094, 372.2969970703125, 521.9598388671875, 72.36701202392578, 504.9502258300781, 357.3739318847656, 489.4932861328125, 111.1834487915039, 504.1992492675781, 15.395111083984375, 59.81361770629883, 389.8879699707031, 303.0294494628906, 203.4938201904297, 222.73582458496094, 516.2022094726562, 81.99543762207031, 8.222269058227539, 279.8072204589844, 316.9330749511719, 351.8450927734375, 365.60870361328125, 575.0147094726562, 495.54376220703125, 0.6955430177607408, 0.616099414432817, 0.6726900837056861, 0.6769284479072385, 0.6846767884057654, 0.6097653416759843, 0.675227039971306, 0.642917012871209, 0.561756669973489, 0.6243893254360706, 0.5900469791891603, 0.5909191352659579, 0.6939178142519138, 0.6240949335032572, 0.6814251579548669, 0.6811190325639185, 0.6324076005759297, 0.5981417971148059, 0.667269449624244, 0.638387916937572, 0.5713618490053205, 0.6999544439987254, 0.6716633468663892, 0.7142929206656835, 0.7132367968266734, 0.6242081501257669, 0.6171940849234643, 0.6901603677566017, 0.5592522180267342, 0.5973849828861154, 0.7036326241228626, 0.6555093268885387, 0.6337910385700058, 0.5764003186658075, 0.6492377472378451, 0.5626455005131314, 0.6778719766047995, 0.6487808300164227, 0.583344145631267, 0.5669470666521734]"
B00021DJ32,"[7.301660060882568, 7.155167102813721, 5.357247352600098, 6.909506797790527, 7.5595197677612305, 0.0, 7.301660060882568, 5.877493381500244, 3.118809700012207, 7.301660060882568, -0.6499530076980591, 6.045244216918945, 5.344999313354492, 7.301660060882568, 7.542817115783691, 7.301660060882568, 7.301660060882568, 3.4572696685791016, 7.301660060882568, -0.1275663673877716, 7.723334789276123, 7.377331733703613, 7.7085371017456055, 2.192214012145996, 7.855030059814453, 0.0, -0.11259565502405167, 5.647597312927246, 3.3800315856933594, 3.6672658920288086, 4.735194683074951, 7.301660060882568, 0.0, 0.0, 3.847606658935547, 5.200817108154297, 5.0075602531433105, 3.7398433685302734, 7.301660060882568, 7.301660060882568, 0.027101360752142842, 0.008498728107679161, 0.02426174742535188, 0.04624085540595183, 0.04048115566797158, 0.064820781362165, 0.06716757562608286, 0.1510355877047536, 0.07816977470540018, 0.14112025185000682, 0.0595048006615297, 0.032839947478768027, 0.10835560099639092, 0.1277870920710474, 0.09913285584822448, 0.1543742345555664, 0.08537053434913967, 0.1471098949124332, 0.0843522478655056, 0.11088056332297175, 0.14335922769066547, 0.07827656799078503, 0.15252099828960974, 0.09249096663626359, 0.022238448929234354, 0.08540291162467362, 0.03232997598113387, 0.06006909787445866, 0.06007253162078563, 0.1468744942150015, 0.10810247944647512, 0.14447665543384602, 0.12939335414401923, 0.130298404026786, 0.14931965198562833, 0.09181420814602191, 0.14200567992328272, 0.13403693626714833, 0.08741856859953381, 0.11099114100683102]"
B0002JHI1I,"[4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 0.3608623743057251, 4.71407413482666, 4.179415702819824, 3.624746084213257, 4.71407413482666, 0.18882223963737488, 2.5899007320404053, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 1.4375215768814087, 4.71407413482666, 0.16056136786937714, 4.71407413482666, 3.676647901535034, 4.71407413482666, 0.0, 4.71407413482666, 0.16056136786937714, 0.35374411940574646, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 4.71407413482666, 0.3669435381889343, 0.0, 4.71407413482666, 4.71407413482666, 0.8490164875984192, 1.8845455646514893, 4.71407413482666, 4.71407413482666, 0.02279052409832545, 0.05576423580979052, 0.0050312540134905765, 0.14616658098528293, 0.11947414112555371, 0.10876047719312694, 0.07879852129047525, 0.12045349739191821, 0.07240647611420005, 0.14948546665270038, 0.14402077577707326, 0.017006862427403763, 0.07532136325163225, 0.029405572858939466, 0.06628629844317983, 0.13763038985795442, 0.1258981937647785, 0.11204875176599784, 0.12194906419178198, 0.014194397487005548, 0.04962013647275489, 0.02916326484681986, 0.02883821319983536, 0.014246815021533847, 0.0242617495320611, 0.04885020509542989, 0.01594318849597374, 0.15179750245297774, 0.07610774476335257, 0.049920788352718286, 0.05715488294619326, 0.1366930578497374, 0.054555591362678145, 0.03904632481096709, 0.10865339075148547, 0.08319852659291399, 0.018350744001181085, 0.13180144614509343, 0.09760502965622572, 0.03541132436124693]"
B0006O10P4,"[13.419936180114746, 9.964990615844727, 2.4047067165374756, 1.6074483394622803, 10.940323829650879, 0.0, 13.863518714904785, 8.788509368896484, 0.5797989964485168, 9.484389305114746, 0.7362887263298035, 5.140679359436035, 4.842850208282471, 10.351143836975098, 12.107864379882812, 12.389906883239746, 9.581731796264648, 10.245013236999512, 6.78296422958374, 0.34439751505851746, 9.129961013793945, 6.5878190994262695, 8.027403831481934, 2.057908535003662, 12.932300567626953, 0.6272926926612854, 0.3071996569633484, 4.817729473114014, -0.28100597858428955, 0.7333194613456726, 1.1011537313461304, 14.76607894897461, 0.22113469243049622, 0.0, 2.1083853244781494, 3.376983165740967, 7.440196514129639, 7.4613142013549805, 13.286487579345703, 11.669490814208984, 0.1134726080575437, 0.02468804877864296, 0.03740810868951796, 0.12123864775796565, 0.13876875046423348, 0.0682080589581681, 0.024377446814175713, 0.08551077384536404, 0.0742121493346471, 0.03249603636825325, 0.0502247559056989, 0.10092341864985428, 0.1325703648717572, 0.13052252308822046, 0.018672710221676114, 0.08182599751956371, 0.13791366019448065, 0.00562791212665079, 0.08021399565959805, 0.0371769272922807, 0.021624427594831117, 0.13098550041922258, 0.05601766391750437, 0.0028676121781371954, 0.04672058430357423, 0.14007454761975263, 0.07299262239041875, 0.1428015864909273, 0.041496694102028706, 0.10697516954872832, 0.06622428131342477, 0.11326088779287831, 0.1300769122428035, 0.030700169396200874, 0.014986536148665665, 0.023477211472029063, 0.1368979741010703, 0.12193072059709467, 0.005420711333404905, 0.002637605296208582]"
B0009RF9DW,"[490.16900634765625, 432.038818359375, 351.29656982421875, 200.7606658935547, 489.85064697265625, 36.11164855957031, 544.771728515625, 184.062255859375, 121.90179443359375, 441.8808288574219, 125.36442565917969, 416.72357177734375, 370.3956298828125, 489.49090576171875, 442.6353454589844, 484.2134704589844, 437.3786315917969, 288.18768310546875, 467.8209533691406, 58.134769439697266, 437.2655029296875, 321.36395263671875, 424.9247131347656, 133.0028839111328, 467.11468505859375, 43.241119384765625, 52.12347412109375, 387.9921569824219, 222.19155883789062, 134.05535888671875, 210.50953674316406, 501.1484375, 47.69272994995117, 2.1317052841186523, 272.5772705078125, 327.9597473144531, 370.7291564941406, 308.03314208984375, 538.9390258789062, 467.54827880859375, 0.5765117368234921, 0.5379470683134562, 0.5422961743771062, 0.5872435553450559, 0.5225209507392382, 0.561028541985284, 0.5816268876429027, 0.48590510570480244, 0.6143033363806466, 0.5892180069721226, 0.5205001266553685, 0.5265282638615749, 0.5948561015245595, 0.5417751069759755, 0.47976244667726486, 0.5525309396357083, 0.5641399552979931, 0.4984059000298835, 0.6293020954549295, 0.5840307293251772, 0.5148553367195781, 0.5258504327470628, 0.5513131800305812, 0.598089003509784, 0.5413984779319808, 0.6273712945351548, 0.633444531181057, 0.5898645197316116, 0.6360328296908454, 0.5835479502284079, 0.6290888970223117, 0.6168187394667485, 0.5255393353771389, 0.48429253510425324, 0.5495565133268081, 0.5423555216629868, 0.6626667974451763, 0.6534649451172654, 0.6132509787031171, 0.5255449731352152]"
B000FI4S1E,"[499.1337585449219, 443.17132568359375, 345.56719970703125, 207.1764373779297, 506.5368957519531, 38.275142669677734, 549.4661254882812, 166.737548828125, 112.62278747558594, 440.00225830078125, 132.94964599609375, 425.2766418457031, 390.625732421875, 491.48297119140625, 447.37548828125, 495.6299743652344, 444.7750244140625, 292.5713806152344, 476.1263427734375, 67.72855377197266, 456.3251647949219, 322.9413146972656, 418.1412658691406, 129.3649444580078, 471.4091796875, 37.66018295288086, 50.90952682495117, 396.8504943847656, 216.88783264160156, 143.96763610839844, 207.73239135742188, 498.6343688964844, 42.057586669921875, 1.486951231956482, 267.8325500488281, 324.6874084472656, 385.3581848144531, 316.228759765625, 547.5963745117188, 460.8388366699219, 0.5810176838790818, 0.5211208706560722, 0.5777793142952571, 0.5630278887931257, 0.5085686048649865, 0.5330798548496135, 0.5647091603896037, 0.5498123299571002, 0.6401614301087242, 0.6655890317871097, 0.5727010257300015, 0.5255128633657847, 0.5068660525408176, 0.6184700867007119, 0.6074758755429269, 0.5204687052764254, 0.596977365082281, 0.6076755509252177, 0.5212916865963538, 0.5315067485419364, 0.5150996243578863, 0.5581215861824136, 0.6110051270822234, 0.6083060466949802, 0.48575193300062586, 0.6176885911598733, 0.5760140394041632, 0.6021337179020788, 0.5634251398152155, 0.5017088150885719, 0.6442767226743947, 0.6243345742341563, 0.5134577763133957, 0.5683754088529267, 0.4754251944133118, 0.5291910535834664, 0.5568928007654551, 0.5680252200604562, 0.6210885593084193, 0.4991271400498094]"
B000FOI48G,"[43.85157775878906, 40.88972854614258, 42.33843994140625, 31.384523391723633, 41.3404655456543, 6.865166187286377, 40.41044616699219, 13.16209888458252, 18.557209014892578, 23.740812301635742, 1.5522936582565308, 23.08735466003418, 39.565673828125, 40.71746826171875, 39.171268463134766, 41.23536682128906, 37.24681854248047, 36.94710159301758, 41.45698928833008, 1.0778863430023193, 41.77326965332031, 30.236310958862305, 42.93378448486328, 4.7107744216918945, 38.80397033691406, 0.3958405554294586, 4.353897571563721, 42.49024200439453, 39.26439666748047, 26.359161376953125, 32.49898910522461, 27.58206558227539, 2.699071168899536, 0.060965344309806824, 41.738250732421875, 29.306406021118164, 35.0361442565918, 13.20010757446289, 42.498268127441406, 42.2606315612793, 0.1638363022971639, 0.1623748886852743, 0.05347700540313607, 0.1262251478068709, 0.12411111796812867, 0.16392329385315457, 0.13384570129732876, 0.08148013198409046, 0.07002321875970975, 0.1309340017893729, 0.15908642686155658, 0.13623703096642634, 0.07593092389853463, 0.04399858180898556, 0.14692441919621108, 0.16311653209282634, 0.07577393184440497, 0.0382579447076753, 0.11796357183010592, 0.07895192092097007, 0.09722467259063723, 0.1429562117391125, 0.11000229637822169, 0.12564123543770367, 0.14409861493777026, 0.06930904975708299, 0.15168155153159812, 0.10184874881570609, 0.04252786808309696, 0.16017367256780202, 0.060890221067357676, 0.11387639533431228, 0.05025548602719736, 0.09925763359682731, 0.031892506512350274, 0.11267801956529139, 0.1271470250398633, 0.0479336037446234, 0.139675083681472, 0.029531482661812904]"
B000FTYALG,"[0.06491679698228836, 0.06491679698228836, -0.035632696002721786, 0.06491679698228836, 0.06491679698228836, 0.03422558307647705, -0.02028709091246128, 0.049571190029382706, 0.015345606952905655, 0.03069121390581131, 0.049571190029382706, 0.049571190029382706, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.06491679698228836, 0.03422558307647705, 0.06491679698228836, 0.015345606952905655, 0.06491679698228836, 0.0, -0.02028709091246128, 0.03422558307647705, 0.03422558307647705, 0.049571190029382706, -0.028663452714681625, 0.03422558307647705, 0.049571190029382706, -0.02028709091246128, 0.049571190029382706, 0.015345606952905655, 0.049571190029382706, -0.06288903206586838, 0.03069121390581131, 0.015345606952905655, 0.06491679698228836, -0.02028709091246128, 0.010466410064839855, 0.08949048626765224, 0.14784695133654158, 0.1165235808732283, 0.04555150123330755, 0.015822126894129446, 0.10466030184779494, 0.11667393690327535, 0.1216518282970816, 0.06364048795673367, 0.0955689800948054, 0.1083083272486563, 0.09116262716576962, 0.05791172212057414, 0.13614569690445166, 0.13585838743527615, 0.04007752673745151, 0.11894311750569068, 0.10611610565885403, 0.027805524317425587, 0.03521918667496191, 0.11968073913904127, 0.08058497349377651, 0.029110811238817026, 0.06401879721703269, 0.14464983124406378, 0.049379488670829835, 0.12341156566550156, 0.10832558727396131, 0.007854353580250523, 0.09003976508002935, 0.11880357638388518, 0.03549303949836402, 0.10123525753576891, 0.13149130600858608, 0.03327569026611644, 0.1443834977848208, 0.1421857386906582, 0.09160852195868766, 0.011376603768339148]"
B000GLRREU,"[35.18679428100586, 34.20109939575195, 35.993892669677734, 26.493877410888672, 35.93340301513672, 4.703914642333984, 34.39964294433594, 11.996339797973633, 15.846935272216797, 19.034189224243164, 1.6811869144439697, 17.9702091217041, 34.03019332885742, 34.85737991333008, 33.42969512939453, 35.908477783203125, 32.38890075683594, 31.11751937866211, 35.403926849365234, 1.2620782852172852, 36.064945220947266, 24.80219841003418, 36.89845657348633, 3.9609477519989014, 33.72142028808594, 0.5247339010238647, 4.3515729904174805, 36.17382049560547, 33.090641021728516, 23.621253967285156, 25.863061904907227, 21.412105560302734, 2.625120162963867, 0.060965344309806824, 35.94974899291992, 22.202402114868164, 29.67375373840332, 11.33698558807373, 35.68035888671875, 37.199851989746094, 0.11109424362848484, 0.10416522482121583, 0.04198847868335044, 0.04204457088377564, 0.09170904356077693, 0.13095071482264375, 0.09209228315778946, 0.15478559878180703, 0.15027714779684942, 0.09681017963794929, 0.07672811880444448, 0.1462971447311233, 0.13290711215945814, 0.061771237159616785, 0.05625890758963191, 0.03529108909529396, 0.11301526783309712, 0.04500651606349385, 0.04318774036347781, 0.024696291202032643, 0.12071145506229267, 0.0730938544164095, 0.04440643910780692, 0.11368650745024746, 0.13707243352955772, 0.028175756533370955, 0.032720910539013826, 0.08591582260940724, 0.15361921831542513, 0.023217034914286006, 0.07882070165402186, 0.16736937255639336, 0.16696749658499693, 0.1641823706879755, 0.07298841198062703, 0.04920242011782733, 0.024452057452480358, 0.10675463986256624, 0.025461634394359146, 0.041628683877480685]"
