Key,Array
B00006L9LC,"[73.59383392333984, 18.458389282226562, 9.554134368896484, 47.115966796875, 76.7577133178711, 2.579188823699951, 60.666908264160156, 84.56146240234375, 32.44572067260742, 18.211576461791992, 76.05353546142578, 21.559463500976562, 39.79469680786133, 61.93489456176758, 20.292724609375, 23.177555084228516, 43.47625732421875, 78.99744415283203, 61.11040115356445, 55.08786392211914, 2.196746349334717, 5.604761123657227, 0.760341227054596, -0.33657753467559814, 21.364452362060547, 24.905771255493164, 46.420372009277344, 68.84788513183594, 0.0, 54.16330337524414, 0.0, 13.326921463012695, 52.7821044921875, 60.76107406616211, 10.08926010131836, 9.246127128601074, 27.5421142578125, 25.681018829345703, 2.077385187149048, 75.17497253417969, 0.5939485057007782, 0.6091571508049614, 0.6784075019071736, 0.7344607158479391, 0.7221229302159445, 0.6830675073547017, 0.6421158168899261, 0.5841139536602489, 0.6072232757287575, 0.5662877782611443, 0.6678469103077134, 0.769366915764384, 0.6843368989475689, 0.7012065534582356, 0.6403308617063563, 0.5885832708189814, 0.6698098246001971, 0.7125715230474899, 0.6343597683715239, 0.6374445475988292, 0.7501227278271968, 0.6740967842720711, 0.7157846091598483, 0.48562293067946216, 0.7524165183723843, 0.7542516199622747, 0.6466045365172688, 0.6763931360698296, 0.6484712041900331, 0.6698762515556533, 0.7411326346137114, 0.5214424465120511, 0.7690679821994817, 0.5686027204009518, 0.7019235584522523, 0.5793360689759731, 0.5580578903662788, 0.5908712127583217, 0.6896674387395624, 0.47988544833958596]"
B0006O10P4,"[4.949855327606201, 0.0, 0.39153358340263367, 2.618881940841675, 4.949855327606201, 0.0, 0.906194806098938, 4.335058689117432, 1.1369941234588623, 0.0, 4.949855327606201, 2.618881940841675, 0.22113478183746338, 2.6697540283203125, 0.050872139632701874, 0.0, 0.0, 4.895357608795166, 2.789280414581299, 0.4229404032230377, 0.0, 0.0, 0.0, 0.0, 0.04086105525493622, 0.04086105525493622, 2.397747278213501, 0.7091039419174194, 0.0, 0.35067251324653625, 0.0, 0.0, 2.7992918491363525, 4.949855327606201, 0.0, 0.0, 0.375248521566391, 0.050872139632701874, 0.0, 4.949855327606201, 0.06443012536853021, 0.025593006742703567, 0.08054594382153456, 0.03365149571431721, 0.03859852408064745, 0.14258060427648528, 0.1561891231645087, 0.11613446078804923, 0.1364060779968504, 0.04985912241814269, 0.030845208645201853, 0.04423418223030657, 0.058024822567347846, 0.11326090045753587, 0.11714873562392518, 0.04534679749391248, 0.10226397982803921, 0.08991390253242389, 0.14029025576539228, 0.1616232903531672, 0.03276813610091289, 0.1381347365575024, 0.05768961245900003, 0.06902304681694152, 0.04495485999695942, 0.024821469732303238, 0.0887366533280827, 0.11039294704226606, 0.04248120518533313, 0.07464905816067285, 0.021251333875990576, 0.1371218240639882, 0.021948621899084905, 0.02532160566478846, 0.016646002058298522, 0.17027255499550656, 0.15154624055345994, 0.1254403445233219, 0.09988752966468646, 0.04154175910219272]"
B0009RF9DW,"[64.0166015625, 8.030421257019043, 4.816891670227051, 26.81697654724121, 65.37903594970703, 2.8720297813415527, 56.205509185791016, 65.10491943359375, 40.772117614746094, 6.79136848449707, 66.0787124633789, 40.34616470336914, 37.6409797668457, 42.513893127441406, 9.682687759399414, 22.33914566040039, 11.42805290222168, 51.44895553588867, 36.18143081665039, 35.95964813232422, 0.9159838557243347, 18.933387756347656, 0.24047069251537323, -0.33658039569854736, 8.792877197265625, 10.142038345336914, 24.709680557250977, 50.35523223876953, 0.0, 41.639312744140625, 0.0, 5.070959091186523, 36.55827713012695, 33.25831985473633, 26.76474952697754, 3.671245813369751, 27.045560836791992, 14.20987606048584, -0.5306915044784546, 55.739864349365234, 0.5924574278581451, 0.5250588465939351, 0.4252423057035644, 0.5879946011484871, 0.37819174321413107, 0.44308748565479433, 0.3819897930979041, 0.4677466770592769, 0.5455765562776068, 0.5187603221402968, 0.4873876528426171, 0.5249950728559039, 0.5524053293260061, 0.448955260012739, 0.638205785565074, 0.6082164320643121, 0.548351899039326, 0.4625453853658777, 0.560841186581738, 0.4700501988303938, 0.5893534048159419, 0.40947790923784977, 0.5795665570162198, 0.49640914901367766, 0.6292985634434822, 0.567107643411869, 0.5624372507383487, 0.3793051131060181, 0.37849502594123763, 0.5106767806925155, 0.45797253347390976, 0.5589593983320293, 0.48000784325159124, 0.5185378812761812, 0.5524072826851345, 0.4495547329336682, 0.56953672056895, 0.5284562977202029, 0.4872598644117106, 0.5628876252060365]"
B000FI4S1E,"[62.74726867675781, 3.6994333267211914, 7.518184185028076, 32.63365936279297, 63.632450103759766, 5.189530849456787, 45.84082794189453, 65.59717559814453, 38.82364273071289, 7.074039459228516, 67.59830474853516, 45.627464294433594, 31.856334686279297, 49.5020751953125, 9.515995025634766, 10.735025405883789, 19.31641960144043, 58.145565032958984, 41.79715347290039, 28.682987213134766, 4.120118618011475, 19.903676986694336, 0.9232143759727478, 0.0, 6.375374794006348, 12.755512237548828, 35.449092864990234, 41.27122497558594, 0.0, 37.86433029174805, 0.0, 8.936326026916504, 43.599082946777344, 37.325843811035156, 18.25481414794922, 3.2473714351654053, 19.52186393737793, 14.310735702514648, -0.20509853959083557, 58.736366271972656, 0.4268633772464756, 0.5173938171388274, 0.5287985502921337, 0.569190643413614, 0.5519635435492573, 0.5376834177651385, 0.4954362026223988, 0.45216335979644884, 0.617414348938954, 0.5863693619388262, 0.6559425291448359, 0.4572000361855714, 0.5884460045223585, 0.4838808790391801, 0.597435933893397, 0.5723899531762907, 0.5559279149164836, 0.46183602356070763, 0.6150878231794285, 0.5568769825630847, 0.4265997786463567, 0.6645720116628832, 0.49857177422045806, 0.565881044587138, 0.658864236292936, 0.6624253624053195, 0.5452751360811984, 0.5877711764210533, 0.5394273151922426, 0.5270809734319175, 0.6169355222910176, 0.55791693185624, 0.5074977215715033, 0.4513666569645139, 0.610300882611433, 0.558604167521536, 0.6648034344917094, 0.5241707277734176, 0.5577806120362034, 0.6523294349153157]"
B000FOI48G,"[0.2042515128850937, 0.17868760228157043, 0.0, 0.0, 1.0065771341323853, 0.0, 0.9676315188407898, 1.4023168087005615, 0.2716180086135864, 0.45030564069747925, 0.2716180086135864, 0.0, -1.5191909074783325, 0.2716180086135864, 0.17868760228157043, 0.17868760228157043, 0.17868760228157043, -0.056520093232393265, 1.2807306051254272, 0.7349591255187988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4633411169052124, 0.17868760228157043, 0.45030564069747925, 0.0, 0.411359965801239, 0.0, 0.17868760228157043, 0.17868760228157043, 0.6829779148101807, 0.5432360172271729, 0.17868760228157043, -0.28919243812561035, 0.17868760228157043, 0.31056371331214905, -0.5633457899093628, 0.08862265732000592, 0.028025801133369686, 0.04379723072431831, 0.04738182784504759, 0.030735255122742305, 0.14270269439569339, 0.11007875798362465, 0.10849815555513122, 0.1230523280402401, 0.13838824058005258, 0.05330919508673006, 0.08627147230898877, 0.06600942130253065, 0.08433542927488935, 0.14945118075554575, 0.1262017247065829, 0.10153580460211137, 0.147527965849269, 0.036919954620921715, 0.12109338560454576, 0.03143390057655183, 0.02511019255252552, 0.14016239648845877, 0.08236134842257607, 0.05027830985054561, 0.09056682546523902, 0.04788005816887244, 0.11679418467474538, 0.10156607875967473, 0.03920099457345834, 0.12557150576639026, 0.0923542064673606, 0.07508335660323116, 0.03858364690393415, 0.17075961746496895, 0.08853885166326105, 0.11624113280567017, 0.17068555006462532, 0.026734135858590646, 0.16251982796984588]"
B000GLRREU,"[5.340414524078369, 0.6677964329719543, 0.37644803524017334, 1.0105541944503784, 2.1757144927978516, -0.11721178889274597, 3.9400572776794434, 6.598358631134033, 0.4431838393211365, 0.600753664970398, 2.4323489665985107, 0.9670377373695374, 6.205167770385742, 0.9739755988121033, 1.525537133216858, 4.620996952056885, 0.5560566186904907, 7.450411796569824, 5.172334671020508, 3.436340093612671, 0.1736036241054535, 0.9670377373695374, 0.0, 0.0, -0.44619324803352356, 1.7337067127227783, 3.4176583290100098, 2.0357322692871094, 0.0, 1.7706358432769775, 0.0, 0.6677964329719543, 2.539036512374878, 1.5970861911773682, 1.9884518384933472, 0.42715007066726685, 5.282827377319336, 0.600753664970398, 0.14435432851314545, 3.630948066711426, 0.18388939860599224, 0.15329780352574626, 0.1510994322185914, 0.14130778760423365, 0.0443811868262214, 0.0668827803395087, 0.09654774519627951, 0.16708840701058197, 0.03951591736707914, 0.09065382691260854, 0.14693170079212256, 0.0442524720954077, 0.0935265157724222, 0.0606019870357264, 0.06295745815433197, 0.16898416901621655, 0.1519193164992084, 0.09812728331882452, 0.16570736889182816, 0.16195888983131587, 0.13594223870676597, 0.16329384408019007, 0.0883519966843697, 0.1435178060541508, 0.06446579597685587, 0.05635707522544029, 0.17478953494977173, 0.17520515111114718, 0.06963628569103347, 0.12074669682978652, 0.16771474523650232, 0.038275007822970594, 0.14695191683918513, 0.143469087645628, 0.09015425787514213, 0.11271362547233878, 0.08376419908725635, 0.10676649632881487, 0.04679071436301882, 0.09798492183364654]"
B000LIBUBY,"[2.695783853530884, 0.0, 0.0, 2.022784471511841, 3.189300060272217, 0.14651672542095184, 2.549267053604126, 3.189300060272217, 0.6729993224143982, 0.0, 4.949889183044434, 0.0, 0.0, 2.022784471511841, 0.0, 0.0, 2.022784471511841, 2.1693012714385986, 2.1693012714385986, 2.695783853530884, 0.0, 0.0, 0.0, 0.0, 2.022784471511841, 0.0, 2.022784471511841, 2.022784471511841, 0.0, 2.022784471511841, 0.0, 0.0, 2.549267053604126, 2.1693012714385986, 0.0, 0.0, 0.0, 0.0, 0.0, 2.695783853530884, 0.13223357528279267, 0.02580505434407329, 0.09316068398716937, 0.10280039211032356, 0.07950255127102723, 0.16284728972890353, 0.07338956236065071, 0.06243345070376093, 0.07997916407304755, 0.09341454740338313, 0.042023019298906346, 0.02743939880661945, 0.01895652244646248, 0.07357846007023632, 0.06687091952242494, 0.11540241149022927, 0.05581034085086904, 0.1711616622509757, 0.16158960718352058, 0.15182872698339414, 0.11339341395288693, 0.12658747479830224, 0.1553515042608533, 0.04145357867928654, 0.07115972857238324, 0.13363411986811585, 0.039481808122502175, 0.14604055356982407, 0.11618340972290962, 0.06119768453608231, 0.08840496589580868, 0.030858623886588117, 0.05466401241938349, 0.1436877777814503, 0.04570509608326115, 0.06809299199608017, 0.10318129891250231, 0.08987367973499075, 0.025731759053694434, 0.1462098159589735]"
B000NKJIXM,"[6.075128555297852, 3.062883138656616, 0.4776303172111511, 1.2673513889312744, 2.5356221199035645, 0.37564170360565186, 6.814998626708984, 3.5697922706604004, 0.6998250484466553, 3.4385247230529785, 3.9732987880706787, 0.2708764970302582, 0.6314558982849121, 2.4571642875671387, 3.724574565887451, 3.348870038986206, 3.2620091438293457, 2.5467941761016846, 4.099250793457031, 9.219345092773438, 0.37564170360565186, 0.0, 0.05330686271190643, 0.0, 2.0338449478149414, 3.434992790222168, 11.314824104309082, 5.936037540435791, 0.0, 4.9637250900268555, 0.0, 2.8863675594329834, 4.810577869415283, 1.9916173219680786, -1.9666433334350586, 2.8863675594329834, 7.0148186683654785, 8.768272399902344, 0.1961113065481186, 10.234574317932129, 0.1067022244758183, 0.06618319451542107, 0.10311504178883263, 0.1680158001781312, 0.10648711068174528, 0.1397250118314988, 0.13579089182058202, 0.16983038412921736, 0.09281412848837346, 0.09331852013196419, 0.11688998568653121, 0.08679625843974488, 0.02552673148034281, 0.14406274745177372, 0.16170131087114306, 0.1678901357034229, 0.15931593066945102, 0.10487534578438001, 0.03869756162929167, 0.0715431284332141, 0.16142400332089965, 0.09414770154140117, 0.18283740076807048, 0.07991732870429842, 0.09771169499392979, 0.12424176240200992, 0.08847694249624577, 0.10084839687851808, 0.10928867577624235, 0.1619232450446017, 0.06128495200493456, 0.046999269175051935, 0.06474259901331685, 0.10687728934268378, 0.1717939939165159, 0.07077710455589857, 0.1361328121789138, 0.10241722006812967, 0.10729589808554628, 0.15100151408483592]"
B000PKKAGO,"[3.1833720207214355, 0.41496846079826355, 3.1833720207214355, 1.145361304283142, 3.1833720207214355, 0.0, 3.1833720207214355, 3.1833720207214355, -0.8134152293205261, 0.41496846079826355, 3.1833720207214355, 0.0, 3.1833720207214355, -1.439584493637085, 3.1657042503356934, 3.1430861949920654, -0.49799081683158875, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 0.0, 0.0, 0.0, 0.0, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 0.0, 3.1833720207214355, 0.0, -1.2283836603164673, 1.777953028678894, 3.1833720207214355, 0.24650441110134125, 0.0, 3.1833720207214355, 2.7648701667785645, -0.41210341453552246, 3.1833720207214355, 0.12876826131240013, 0.056446460082370906, 0.022185916185740697, 0.01575331017099186, 0.06803444435355276, 0.15687649992910677, 0.09362240254387488, 0.11610376864775276, 0.14224741334658184, 0.026666040675078308, 0.100409831727046, 0.02056461608314499, 0.05082118393267893, 0.004954403682888889, 0.1484847315964158, 0.031289365038641596, 0.15046053743014218, 0.0051835308275302566, 0.12778633460859196, 0.01542260847331562, 0.05691613907552585, 0.06637011189416792, 0.10039715556929335, 0.058934445933125926, 0.020308661493687586, 0.03897594648122843, 0.06503762184002501, 0.1462552443717351, 0.1592483662467841, 0.09602028261506519, 0.11433613873652874, 0.09500456754424903, 0.06496299275819306, 0.15735511671350033, 0.09635348897862646, 0.02214742111378758, 0.11166530904017834, 0.11036720834257385, 0.13129797253929254, 0.09994563590041798]"
B000URXP6E,"[164.9271697998047, 24.3436336517334, 26.311864852905273, 84.59884643554688, 181.60333251953125, 16.405607223510742, 153.69200134277344, 192.37762451171875, 118.7103042602539, 23.66187286376953, 184.5175323486328, 99.54793548583984, 82.34021759033203, 134.1169891357422, 20.923816680908203, 65.42671966552734, 44.55234146118164, 147.0734100341797, 119.10669708251953, 93.45252990722656, 7.099829196929932, 38.183502197265625, 1.6589164733886719, 0.0, 9.628854751586914, 33.60888671875, 58.73359680175781, 131.24917602539062, 0.0, 92.81271362304688, 0.0, 4.8508477210998535, 102.21991729736328, 89.40465545654297, 49.95948028564453, 4.015109062194824, 60.92767333984375, 44.053443908691406, 3.3860690593719482, 161.57852172851562, 0.8063331185647369, 0.7896540410537497, 0.8465318201174639, 0.95204904690498, 0.8032548171160523, 0.7857872913781873, 0.8590628863801535, 0.9313648531957455, 0.851980515582837, 0.885103553804311, 0.9857008320657323, 0.926337649320529, 0.9462194019082701, 0.8417314983205987, 0.9979702060612599, 0.8530426590324283, 0.8322283398917478, 0.7321198074251482, 0.7969012751097966, 0.9917809648950877, 0.8922225320934417, 0.8351242010385632, 0.7172342837105691, 0.8926183514394965, 0.9525520911294502, 0.9122420141303567, 0.815466339590895, 0.9020375306192665, 0.8850066186107375, 0.8929507767331666, 0.9531807538479412, 0.8603440440525209, 0.9257936998667741, 0.9712824435506421, 0.8681968755533586, 0.8087030619705355, 0.7296310116491836, 0.8055754689231354, 0.7517153576745841, 1.0417799066060285]"
