Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10775392874619966, 0.13332826394329367, 0.1594235400208225, 0.1449343987445967, 0.05842150432499514, 0.05484486298579757, 0.13172907874033607, 0.09854428611642059, 0.047954958777540115, 0.07680920528475696, 0.04403172157137, 0.051489601163885165, 0.19196930324101158, 0.09367208664015474, 0.11614665761818334, 0.12862364144959457, 0.17669786387959993, 0.05955029069279499, 0.129426469975749, 0.09238692639702072, 0.05554043313680477, 0.06609022578636367, 0.129264102059707, 0.043095401018424705, 0.189041564697919, 0.17236683732095684, 0.1888841221033127, 0.06959968658695394, 0.13012447107965117, 0.09596785028130157, 0.06624410069444753, 0.07434577828412142, 0.09652871688624781, 0.17929576838783226, 0.1827527001582211, 0.12327402703138837, 0.17777023472599074, 0.11856833775935517, 0.14124794922326617, 0.11946203580375275]"
A1118RD3AJD5KH,"[0.36487966775894165, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.36487966775894165, 0.0, 0.36487966775894165, 0.36487966775894165, 0.36487966775894165, 0.36487966775894165, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.36487966775894165, 0.0, 0.18243983387947083, 0.0, 0.18243983387947083, 0.36487966775894165, 0.18243983387947083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18243983387947083, 0.36487966775894165, 0.0, 0.0, 0.0, 0.0, 0.18243983387947083, 0.18243983387947083, 0.18243983387947083, 0.0, 0.18243983387947083, 0.0, 0.18243983387947083, 0.36487966775894165, 0.16117547363414692, 0.15137834555983126, 0.05332252327165633, 0.08006896847427702, 0.16968091195035256, 0.11691850119771548, 0.1341645423656187, 0.11897021248031121, 0.0688703469965381, 0.11403503541819612, 0.15700660354512216, 0.07123452255857207, 0.15419769261673133, 0.17056667512768126, 0.06974517459519505, 0.06880317691998628, 0.16947165641031695, 0.12376232021854831, 0.08232768243707907, 0.14281251925224542, 0.11495981441587454, 0.09538007650767016, 0.043835735045160786, 0.16423642070437922, 0.13429773654906885, 0.07042380823853703, 0.13885971997195978, 0.04699952345803192, 0.18511668559115135, 0.05291462177117667, 0.184336157095111, 0.19316785597335315, 0.15053513336053684, 0.13621028470921231, 0.08402731358724647, 0.08387988862791693, 0.11505152325195389, 0.1386483944286826, 0.08507196975300971, 0.15400840589665318]"
A11L1TI883AOSV,"[-0.3517671525478363, 0.20439954102039337, 0.36634060740470886, 0.36634060740470886, -0.5980684757232666, 0.1619410514831543, -0.5046771168708801, -0.18831677734851837, 0.20086133480072021, 0.36634060740470886, -0.48477157950401306, 0.2264081984758377, -0.2597118616104126, 0.4973161220550537, -0.0255468487739563, 0.016911644488573074, 0.2984713315963745, -0.29728370904922485, 0.4973161220550537, -0.17921146750450134, 0.1619410514831543, 0.0, 0.0, 0.0, 0.0, 0.21642450988292694, 0.12436924874782562, -0.10979578644037247, 0.0, -0.08481801301240921, 0.0, 0.05448345094919205, 0.12436924874782562, -0.42945924401283264, -0.30078476667404175, 0.0, 0.258882999420166, 0.1619410514831543, 0.0, 0.26089954376220703, 0.08168055201079237, 0.17721292355334664, 0.05391744654552716, 0.09687667135453373, 0.09555070395168994, 0.17597797376113272, 0.09513004584291504, 0.19144584990048152, 0.09422042144544217, 0.05505234325249218, 0.08834622583110398, 0.12424420964573432, 0.1499292342100367, 0.14287913698317276, 0.1271996827482466, 0.09447407925138038, 0.05507125040502559, 0.14240677773911864, 0.15477962331268785, 0.1104326210684413, 0.0879137897976679, 0.0652992289185755, 0.1309334704796163, 0.17160115143558521, 0.06784834528917952, 0.04735335055536275, 0.13647218583768164, 0.17411955933221054, 0.11135876847094137, 0.10044514220248796, 0.14319656592169627, 0.17882388715036832, 0.05728584062486628, 0.19539109554263834, 0.1654611973894241, 0.07648016572340369, 0.19244968671012966, 0.10049429089506315, 0.1447245540881278, 0.15897346504277346]"
A11QGZ39A7ZF0X,"[3.9758973121643066, 0.0, -0.24060896039009094, 4.764172077178955, 4.622778415679932, 0.0, -0.5106149911880493, -0.13730359077453613, 3.21962308883667, 0.0, 3.790210723876953, 0.8438889980316162, 4.35162878036499, 4.949858665466309, 2.3757340908050537, 0.0, 0.0, 2.892542839050293, 3.4031577110290527, -0.24060896039009094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.678709030151367, -0.2711493968963623, 0.0, -0.1856866031885147, 0.0, 0.0, 1.168817400932312, 0.5727396011352539, -0.3270803689956665, 0.0, -0.3270803689956665, 0.0, -1.8035342693328857, 0.5727396011352539, 0.09387241484966485, 0.03778282912517068, 0.1691515700844921, 0.03509054526568031, 0.04424111940690754, 0.16881991238144864, 0.19363760981683129, 0.04199429770288069, 0.02957193679731698, 0.1224541020351427, 0.013662905125727967, 0.14373363549131588, 0.04303118125907243, 0.08541530012550189, 0.0840936909960711, 0.07840531049761107, 0.14275231132319052, 0.0806575125583568, 0.1462393528373093, 0.15330652551058124, 0.1256024628019678, 0.11329739441340175, 0.017229098538997154, 0.13614286832790978, 0.08136161285264906, 0.04258526463342898, 0.19336912941133597, 0.06248699084060645, 0.13987864600638522, 0.1303397972964294, 0.13548773186484178, 0.09936936334835073, 0.16366659174201934, 0.039060109762172716, 0.14897137609471647, 0.14953061146909746, 0.1804081247814745, 0.14033954731652162, 0.19693552615527893, 0.003966668545672579]"
A125TMC44CJBKK,"[2.8468759059906006, 0.0, 0.0, 1.2283134460449219, 5.693751811981201, 0.0, 2.8468759059906006, 5.693751811981201, 4.465438365936279, 0.0, 5.693751811981201, 0.0, 0.0, 1.2283134460449219, 0.0, 1.6185623407363892, 0.0, 5.743819713592529, 4.465438365936279, 2.8468759059906006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8468759059906006, 0.0, 2.8468759059906006, 0.0, 0.0, 0.0, 1.6185623407363892, 0.0, 0.0, 2.8468759059906006, 1.2283134460449219, 0.0, 2.8468759059906006, 0.09729066327355464, 0.06309076054551474, 0.13279388621605975, 0.22399064470583996, 0.1375663484487157, 0.20604813718142093, 0.1304600326698018, 0.2020381537497134, 0.18564348550180246, 0.15983671270657976, 0.07938979114927339, 0.1992910433085146, 0.12783724244776323, 0.10026772034568394, 0.10531460254834789, 0.0665139288597165, 0.1887382812534989, 0.1433982319219115, 0.13486964501920126, 0.0790462357169281, 0.20296807351186466, 0.19572215516326022, 0.12388120177615525, 0.09094392840529558, 0.1607560544945355, 0.19389329178823705, 0.16016704941219634, 0.16740064207966077, 0.19749413235394223, 0.14894772342506715, 0.1296962869879317, 0.15315537272970506, 0.20726575335269493, 0.19078012983527104, 0.13980749081454333, 0.1201042081530656, 0.11122497684668319, 0.20393099872542483, 0.16306812499758222, 0.0802312353508155]"
A12B5Y225ADJWE,"[0.7049148082733154, 0.0, 0.0, 0.0801551416516304, 1.5141130685806274, 0.06760847568511963, 0.7049148082733154, 2.3909196853637695, 0.889353334903717, 0.0, 2.4585280418395996, 0.0, 0.6247596740722656, 0.0, 0.0801551416516304, 0.889353334903717, 0.0, 1.5141130685806274, 1.6985514163970947, 0.14776360988616943, 0.0, 0.0, 0.0801551416516304, 0.0, 0.0, 0.0, 0.0801551416516304, 1.766160011291504, 0.0, 0.6247596740722656, 0.0, 0.0, 0.8091982007026672, 3.6529858112335205, 0.7049148082733154, 0.0, 0.0801551416516304, 0.0, 0.0, 0.0801551416516304, 0.13290609992944546, 0.18137001765083277, 0.18162924392668184, 0.09744402609926035, 0.06876954600913028, 0.17597623244415225, 0.16205547881357846, 0.08520194587148144, 0.09952126750215547, 0.0430223957798522, 0.0809276424278808, 0.1368657223952218, 0.1483910053842621, 0.188842513277983, 0.0947077403546166, 0.10552094150713673, 0.15404954003087706, 0.05443660183859599, 0.16652191531926883, 0.12816528770863927, 0.18634164291372712, 0.12334941617890649, 0.0780409009850831, 0.16053631647527708, 0.12212276109529743, 0.16873413817550723, 0.12653478205787888, 0.14287259519496107, 0.108581601573015, 0.05839286037143829, 0.13404919148191316, 0.08250474047734233, 0.15273754329569464, 0.07468247286204663, 0.15864778916602607, 0.1785093722596998, 0.0629128669208313, 0.07299045773975113, 0.1147740447036782, 0.0899831459624777]"
A12X146LZM6KM0,"[0.3648810088634491, 0.18244050443172455, 0.18244050443172455, 0.3648810088634491, 0.3648810088634491, 0.0, 0.3648810088634491, 0.3648810088634491, 0.3648810088634491, 0.18244050443172455, 0.3648810088634491, 0.3648810088634491, 0.0, 0.3648810088634491, 0.0, 0.3648810088634491, 0.0, 0.18244050443172455, 0.3648810088634491, 0.18244050443172455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18244050443172455, 0.18244050443172455, 0.0, 0.0, 0.0, 0.0, 0.18244050443172455, 0.0, 0.0, 0.0, 0.3648810088634491, 0.0, 0.0, 0.18244050443172455, 0.19060190418000347, 0.12293513344371386, 0.11450407353168675, 0.12100314168275224, 0.1251422286414991, 0.054291021121652565, 0.028103941222666406, 0.16491553314229765, 0.08058115692246208, 0.06294379620935019, 0.0828588004547514, 0.10893433425142214, 0.05648819405078795, 0.15482740236207468, 0.17681357762046881, 0.16067170274801038, 0.1234276804113816, 0.16734167119744153, 0.11855520158591897, 0.05622453131824011, 0.1786898446432831, 0.08367261694257362, 0.19158939679022877, 0.10162274611683912, 0.07601041857414109, 0.1001092944157088, 0.09345933081421627, 0.026180678996328005, 0.1354731103495336, 0.12242913633315063, 0.11028541082089506, 0.06906500160868263, 0.048562678868135194, 0.1721580666484939, 0.1407787000926824, 0.1121939574511863, 0.113846756907897, 0.17118633087782825, 0.07379439447170158, 0.15896086592550537]"
A14SJT4M0BP298,"[0.45427554845809937, 0.18244034051895142, 0.45427554845809937, 0.45427554845809937, 0.45427554845809937, 0.0, 0.45427554845809937, 0.45427554845809937, 0.45427554845809937, 0.18244034051895142, 0.5436704754829407, 0.45427554845809937, 0.0, 0.45427554845809937, 0.0, 0.18244034051895142, 0.0, 0.45427554845809937, 0.45427554845809937, 0.27183523774147034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27183523774147034, 0.18244034051895142, 0.18244034051895142, 0.0, 0.0, 0.0, 0.0, 0.18244034051895142, 0.27183523774147034, 0.0, 0.0, 0.18244034051895142, 0.0, 0.0, 0.45427554845809937, 0.09730940078014065, 0.11379666891703245, 0.17704624046808268, 0.15378104389349376, 0.11968923544998335, 0.16438475771626673, 0.09470693215714854, 0.1313583816668847, 0.04935318091458162, 0.18867046407160465, 0.15192878001670543, 0.11067174533431856, 0.08754661006471667, 0.05388022499482917, 0.09310452178908465, 0.11822322181026772, 0.05329213633234715, 0.1584482723996047, 0.12855993185309794, 0.10726179914985991, 0.08156265538825919, 0.051912872604521314, 0.14834922083639457, 0.14313568309563618, 0.057255756943152145, 0.08700811419497764, 0.11691085747900275, 0.08582400876365072, 0.058486687788916095, 0.0776067551471166, 0.10349378262300053, 0.08205254257977497, 0.12897468139960022, 0.1510774622782362, 0.11696170107365526, 0.1424879067041196, 0.15676755717484378, 0.07657821709835529, 0.1766216956092817, 0.1388348025555762]"
A14Y0FPHPBKBAF,"[4.9498515129089355, 0.8006879091262817, 0.44311070442199707, 2.10793137550354, 4.9498515129089355, 0.0, 4.9498515129089355, 4.9498515129089355, 1.9886027574539185, 0.8006879091262817, 4.9498515129089355, 1.9886027574539185, 1.9250837564468384, 3.485128402709961, 0.35757726430892944, 2.246589183807373, 4.218795299530029, 4.9498515129089355, 2.9371304512023926, 2.6659653186798096, 0.0, 1.1542805433273315, 0.0, 0.0, 1.6648205518722534, 0.35757726430892944, 2.297213554382324, 4.9498515129089355, 0.0, 3.6703147888183594, 0.0, 0.35757726430892944, 4.9498515129089355, 3.4903135299682617, 1.008000135421753, 0.35757726430892944, 0.8810983300209045, 0.920734167098999, 0.0, 4.9498515129089355, 0.046815477324094586, 0.0778747653377262, 0.0827670703837435, 0.07464963816706234, 0.09533438675553624, 0.12585064388848025, 0.12661177432350645, 0.19552518141835706, 0.198965275443314, 0.0550493987145325, 0.12528590378080715, 0.12590034211092582, 0.11846835591115387, 0.13462257439673306, 0.10389381336986145, 0.1797886924925369, 0.12049716922316141, 0.14875165720240252, 0.11630839897501441, 0.06784903665670565, 0.14254637563569397, 0.18455491000369315, 0.08199728615475234, 0.0872560368026198, 0.09274935549113635, 0.12747232524209204, 0.13356445763780242, 0.08215995290238134, 0.14830059310457971, 0.17542489201980513, 0.19365029646523851, 0.08537867350738046, 0.09346622953902615, 0.14477070390695185, 0.0760630019632125, 0.05270772427133945, 0.07095082483576899, 0.06369648542567906, 0.1453702459157553, 0.06787415324352343]"
A14YENXHLKG9WL,"[2.3757083415985107, 0.0, 0.0, 4.209734916687012, 4.4805755615234375, 0.0, 2.3757083415985107, 2.104867458343506, -0.27084094285964966, 0.0, 4.209734916687012, 2.3757083415985107, 0.0, 2.3757083415985107, 0.0, 2.3757083415985107, 0.0, 2.3757083415985107, 2.104867458343506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3757083415985107, 2.104867458343506, 0.0, -0.27084094285964966, 0.0, 0.0, 2.104867458343506, 2.3757083415985107, -0.27084094285964966, 0.0, 0.0, 0.0, -0.27084094285964966, 2.104867458343506, 0.16202118126059703, 0.15962096092594755, 0.1263832966700962, 0.09423482228429089, 0.11093719432547505, 0.11481182077667931, 0.1509980399360732, 0.1806696976685077, 0.08626087696151143, 0.08436280952164295, 0.08475217501591516, 0.16154083118141266, 0.0568751360700531, 0.09344877716330201, 0.1705420030449271, 0.07544744519064628, 0.17697050643925374, 0.04613433284489827, 0.07123469147237901, 0.059677680108214816, 0.18412221022640252, 0.07851829404119641, 0.15351224847592135, 0.042322984496748824, 0.11173874112476223, 0.044042105209854084, 0.18400967808319446, 0.0453914616578407, 0.1893403876550214, 0.10105174285802965, 0.11091642383588514, 0.06746864746406346, 0.1066342069574879, 0.05566513816512837, 0.17779063359107994, 0.18201358343491353, 0.11954824029400417, 0.07534358520685705, 0.048388235966928865, 0.16482838503246772]"
